Time(s),Shoulder,Waist
0.03,0.9521,0.8732
0.07,0.9475,0.8587
0.1,0.9482,0.846
0.13,0.9388,0.8161
0.17,0.9426,0.804
0.2,0.9381,0.7838
0.23,0.9343,0.7776
0.27,0.9327,0.7702
0.3,0.9194,0.7416
0.33,0.8895,0.7172
0.37,0.8425,0.6859
0.4,0.7905,0.6525
0.43,0.7243,0.6038
0.47,0.7087,0.6081
0.5,0.6511,0.5821
0.53,0.6215,0.5588
0.57,0.5938,0.5326
0.6,0.5112,0.4899
0.63,0.4255,0.4551
0.67,0.4201,0.4287
0.7,0.3938,0.4295
0.73,0.2915,0.3769
0.77,0.2989,0.3684
0.8,0.2529,0.3461
0.83,0.2376,0.3288
0.87,0.2397,0.3277
0.9,0.2088,0.3014
0.93,0.216,0.2881
0.97,0.1927,0.2495
1.0,0.1808,0.2413
1.03,0.19,0.2375
1.07,0.1897,0.2053
1.1,0.2598,0.257
1.13,0.2733,0.2679
1.17,0.2913,0.313
1.2,0.3241,0.3521
1.23,0.3442,0.3676
1.27,0.3827,0.3971
1.3,0.4776,0.4293
1.33,0.5852,0.4639
1.37,0.6502,0.5062
1.4,0.6791,0.54
1.43,0.6961,0.5459
1.47,0.7103,0.5592
1.5,0.7454,0.5843
1.53,0.8038,0.6297
1.57,0.8774,0.6745
1.6,0.91,0.6987
1.63,0.909,0.7211
1.67,0.9431,0.7293
1.7,0.9555,0.7403
1.73,0.9754,0.7472
1.77,0.9671,0.757
1.8,0.9528,0.7406
1.83,0.9565,0.7413
1.87,0.944,0.7333
1.9,0.944,0.7289
1.93,0.9018,0.684
1.97,0.8219,0.6367
2.0,0.7361,0.576
2.03,0.7303,0.5717
2.07,0.6801,0.5191
2.1,0.6222,0.4772
2.13,0.543,0.4405
2.17,0.3997,0.3822
2.2,0.3251,0.3468
2.23,0.2914,0.3234
2.27,0.2704,0.2809
2.3,0.1343,0.2128
2.33,0.1188,0.1727
2.37,0.0473,0.0831
2.4,0.0376,0.0888
