Time(s),Shoulder,Waist
0.04,0.1719,0.3984
0.08,0.1909,0.3562
0.12,0.2053,0.3292
0.16,0.1991,0.3028
0.2,0.1867,0.3072
0.24,0.1655,0.3019
0.28,0.1482,0.2659
0.32,0.1259,0.2479
0.36,0.1105,0.2306
0.4,0.0976,0.2106
0.44,0.0878,0.2019
0.48,0.0766,0.1828
0.52,0.0684,0.172
0.56,0.0554,0.1507
0.6,0.0502,0.1363
0.64,0.0426,0.1312
0.68,0.0322,0.1282
0.72,0.0255,0.1294
0.76,0.0239,0.1196
0.8,0.0243,0.1249
0.84,0.0249,0.1279
0.88,0.0361,0.1333
0.92,0.0433,0.1365
0.96,0.0605,0.1532
1.0,0.0639,0.1633
1.04,0.0995,0.1762
1.08,0.1273,0.1997
1.12,0.1416,0.2254
1.16,0.1619,0.2415
1.2,0.1854,0.2607
1.24,0.2191,0.2736
1.28,0.2464,0.3109
1.32,0.2821,0.3254
1.36,0.3388,0.3565
1.4,0.3853,0.3941
1.44,0.4279,0.4277
1.48,0.4726,0.4724
1.52,0.5217,0.5079
1.56,0.5739,0.5325
1.6,0.6227,0.5683
1.64,0.6844,0.6115
1.68,0.7371,0.6655
1.72,0.7808,0.7106
1.76,0.8165,0.7463
1.8,0.8417,0.7617
1.84,0.8859,0.7957
1.88,0.9076,0.8365
1.92,0.9266,0.8723
1.96,0.9457,0.9007
2.0,0.9577,0.9086
2.04,0.9756,0.9278
2.08,0.9829,0.9461
2.12,0.9807,0.9541
2.16,0.9897,0.9645
2.2,0.9843,0.9602
2.24,0.9748,0.9688
2.28,0.9931,0.9854
2.32,0.9819,0.9905
2.36,0.986,0.9943
2.4,0.9777,0.9879
2.44,0.9842,0.9916
2.48,0.9752,0.9892
2.52,0.9768,0.9744
2.56,0.9627,0.9636
2.6,0.9627,0.9464
2.64,0.951,0.942
2.68,0.9256,0.9067
2.72,0.8974,0.9041
2.76,0.8688,0.8527
2.8,0.8415,0.8137
2.84,0.8116,0.7842
2.88,0.7976,0.7804
2.92,0.7688,0.7653
2.96,0.7156,0.7366
3.0,0.6636,0.7041
3.04,0.6229,0.6537
3.08,0.5597,0.6149
3.12,0.5107,0.5836
3.16,0.4598,0.5563
3.2,0.4108,0.5015
3.24,0.3728,0.4547
3.28,0.3489,0.4444
3.32,0.3101,0.4172
3.36,0.2707,0.3899
3.4,0.2272,0.3533
3.44,0.2025,0.318
3.48,0.1748,0.2874
3.52,0.1457,0.2767
3.56,0.1255,0.2594
3.6,0.1047,0.2395
3.64,0.0874,0.2235
3.68,0.0577,0.1961
3.72,0.0495,0.1821
3.76,0.0353,0.1697
3.8,0.0242,0.1401
3.84,0.021,0.1296
3.88,0.01,0.1202
3.92,0.0068,0.0905
3.96,0.0034,0.0886
4.0,0.0016,0.0912
4.04,0.0049,0.0919
4.08,0.0029,0.0918
4.12,0.0047,0.0856
4.16,0.0038,0.0875
4.2,0.0128,0.0973
4.24,0.0249,0.1081
4.28,0.0342,0.1143
4.32,0.068,0.1166
4.36,0.0901,0.1507
4.4,0.1133,0.1715
4.44,0.1515,0.1928
4.48,0.1833,0.2107
4.52,0.1993,0.2446
4.56,0.227,0.2625
4.6,0.2527,0.2849
4.64,0.289,0.315
4.68,0.3297,0.3397
4.72,0.3798,0.3756
4.76,0.4272,0.4056
4.8,0.4696,0.4358
4.84,0.4943,0.469
4.88,0.5456,0.5117
4.92,0.593,0.5475
4.96,0.627,0.5723
5.0,0.6755,0.6043
5.04,0.7288,0.6602
5.08,0.7828,0.7159
5.12,0.8175,0.7382
5.16,0.8451,0.7835
5.2,0.8758,0.7858
5.24,0.9148,0.836
5.28,0.9314,0.8433
5.32,0.9518,0.8994
5.36,0.9539,0.9081
5.4,0.9623,0.9137
5.44,0.977,0.9379
5.48,0.9692,0.9447
5.52,0.9916,0.9612
5.56,0.9886,0.9654
5.6,0.9933,0.9806
5.64,0.9938,0.981
5.68,0.9963,0.9903
5.72,0.9981,0.9953
5.76,1.0,0.9984
5.8,0.9942,1.0
5.84,0.9851,0.9931
5.88,0.9743,0.9958
5.92,0.9785,0.9816
5.96,0.9702,0.9773
6.0,0.9664,0.9528
6.04,0.9687,0.943
6.08,0.961,0.924
6.12,0.9533,0.9043
6.16,0.9468,0.9032
6.2,0.9272,0.901
6.24,0.9003,0.8772
6.28,0.8774,0.8449
6.32,0.8524,0.8339
6.36,0.826,0.8132
6.4,0.789,0.7933
6.44,0.7486,0.7525
6.48,0.7111,0.7248
6.52,0.6644,0.7059
6.56,0.6174,0.6712
6.6,0.5577,0.6004
6.64,0.5095,0.5712
6.68,0.4654,0.5277
6.72,0.4262,0.4926
6.76,0.383,0.4423
6.8,0.3479,0.4392
6.84,0.2925,0.4076
6.88,0.2655,0.3892
6.92,0.2358,0.3539
6.96,0.2068,0.3104
7.0,0.172,0.2866
7.04,0.1439,0.2635
7.08,0.1182,0.2492
7.12,0.0838,0.2217
7.16,0.0573,0.191
7.2,0.0518,0.1763
7.24,0.0471,0.148
7.28,0.0301,0.1221
7.32,0.0277,0.0998
7.36,0.0214,0.0878
7.4,0.0194,0.0794
7.44,0.0085,0.0739
7.48,0.0101,0.0474
7.52,0.007,0.043
7.56,0.006,0.0442
7.6,0.007,0.0434
7.64,0.0104,0.0455
7.68,0.0154,0.0536
7.72,0.0205,0.0595
7.76,0.0262,0.0693
7.8,0.0295,0.0783
7.84,0.0589,0.0962
7.88,0.0791,0.1162
7.92,0.1136,0.148
7.96,0.1509,0.1575
8.0,0.1762,0.1815
8.04,0.1998,0.2161
8.08,0.2225,0.2249
8.12,0.2456,0.2543
8.16,0.2965,0.2939
8.2,0.3268,0.3279
8.24,0.3647,0.3639
8.28,0.413,0.4006
8.32,0.4434,0.4247
8.36,0.495,0.4517
8.4,0.5391,0.4886
8.44,0.5731,0.5197
8.48,0.6103,0.5443
8.52,0.6517,0.5786
8.56,0.7115,0.6138
8.6,0.7618,0.6649
8.64,0.8125,0.7143
8.68,0.8397,0.7411
8.72,0.8691,0.7651
8.76,0.8985,0.79
8.8,0.9293,0.8213
8.84,0.9444,0.8684
8.88,0.9663,0.8853
8.92,0.9651,0.9028
8.96,0.9735,0.9228
9.0,0.9761,0.9483
9.04,0.9882,0.9429
9.08,0.9992,0.9624
9.12,0.9974,0.9753
9.16,0.9946,0.967
9.2,0.9951,0.9711
9.24,0.9872,0.981
9.28,0.9833,0.978
9.32,0.9862,0.9748
9.36,0.9823,0.9711
9.4,0.9845,0.9681
9.44,0.9823,0.9648
9.48,0.98,0.9612
9.52,0.9759,0.9405
9.56,0.9679,0.9387
9.6,0.9538,0.9117
9.64,0.9433,0.9127
9.68,0.9203,0.8907
9.72,0.9144,0.8635
9.76,0.899,0.831
9.8,0.8803,0.8258
9.84,0.8464,0.8157
9.88,0.8143,0.7956
9.92,0.78,0.7608
9.96,0.7344,0.7142
10.0,0.702,0.702
10.04,0.6629,0.6772
10.08,0.6071,0.6272
10.12,0.5673,0.592
10.16,0.5297,0.5529
10.2,0.4861,0.5363
10.24,0.4392,0.4853
10.28,0.4029,0.436
10.32,0.3602,0.4289
10.36,0.3257,0.3921
10.4,0.293,0.3555
10.44,0.2713,0.3226
10.48,0.2377,0.3019
10.52,0.2074,0.2641
10.56,0.1785,0.2475
10.6,0.1475,0.2151
10.64,0.115,0.1901
10.68,0.0866,0.1612
10.72,0.0702,0.1328
10.76,0.0459,0.1222
10.8,0.0301,0.0799
10.84,0.0262,0.0723
10.88,0.0105,0.0487
10.92,0.0102,0.0367
10.96,0.0,0.0182
11.0,0.005,0.0233
11.04,0.0078,0.0215
11.08,0.0051,0.016
11.12,0.0087,0.0179
11.16,0.0021,0.0073
11.2,0.0013,0.0067
11.24,0.0017,0.0075
11.28,0.0016,0.0
11.32,0.0056,0.0054
11.36,0.0144,0.0163
11.4,0.0265,0.0311
