Time(s),Left(deg),Right(deg)
8.43,145.19,78.47
8.47,142.62,113.38
8.51,125.95,159.87
8.55,121.42,172.4
8.59,156.59,157.26
8.63,166.13,153.73
8.67,165.63,102.17
8.71,169.61,113.19
8.75,162.52,120.61
8.79,145.41,108.54
8.82,121.01,91.89
8.86,113.14,66.07
8.9,127.11,54.62
8.94,141.26,53.79
8.98,151.38,62.98
9.02,153.98,85.61
9.06,155.89,116.67
9.1,158.99,134.94
9.14,156.94,144.77
9.18,157.31,152.55
9.22,160.15,156.55
9.25,157.99,158.83
9.29,156.88,160.31
9.33,151.5,154.67
9.37,147.22,149.59
9.41,144.64,150.98
9.45,147.23,155.74
9.49,149.71,160.5
9.53,154.29,161.88
9.57,159.91,164.65
9.61,158.55,166.33
9.65,156.46,166.93
9.68,155.0,165.37
9.72,155.71,163.57
9.76,154.18,161.18
9.8,152.59,159.13
9.84,148.63,157.93
9.88,153.66,158.89
9.92,156.14,158.86
9.96,154.47,157.4
10.0,145.56,158.32
10.04,142.78,159.21
10.07,142.41,159.7
10.11,140.56,157.7
10.15,143.19,159.21
10.19,143.06,157.49
10.23,141.95,155.66
10.27,141.98,154.47
10.31,142.45,154.38
10.35,138.88,153.1
10.39,132.57,147.64
10.43,129.45,145.68
10.47,123.41,141.12
10.5,112.05,135.17
10.54,104.63,129.94
10.58,87.8,121.99
10.62,81.86,112.58
10.66,61.14,103.75
10.7,55.13,94.59
10.74,61.41,85.47
10.78,55.41,75.65
10.82,60.11,72.38
10.86,57.32,71.42
10.89,56.17,74.33
10.93,53.47,73.84
10.97,52.61,72.53
11.01,55.39,75.53
11.05,52.78,77.16
11.09,54.92,81.44
11.13,55.33,87.57
11.17,53.11,93.49
11.21,55.59,99.23
11.25,73.86,106.95
11.29,87.3,114.84
11.32,103.56,123.46
11.36,110.89,129.21
11.4,129.14,137.53
11.44,133.94,142.29
11.48,133.89,147.2
11.52,141.53,149.77
11.56,143.73,152.19
11.6,156.12,152.51
11.64,153.36,152.09
11.68,151.56,149.93
11.71,148.12,146.63
11.75,133.36,141.72
11.79,121.28,134.75
11.83,106.08,125.82
11.87,91.26,116.07
11.91,72.38,108.45
11.95,59.29,98.71
11.99,61.42,87.4
12.03,50.98,81.7
12.07,50.03,75.38
12.11,54.52,74.39
12.14,66.56,71.31
12.18,53.36,71.87
12.22,54.43,72.53
12.26,49.07,73.89
12.3,53.49,75.51
12.34,58.28,80.06
12.38,55.72,84.63
12.42,60.56,91.58
12.46,62.52,98.1
12.5,73.0,106.52
12.53,88.54,112.77
12.57,103.93,119.13
12.61,112.61,126.25
12.65,134.39,135.83
12.69,147.89,145.42
12.73,149.38,152.51
12.77,151.23,159.17
12.81,152.97,159.94
12.85,150.56,158.57
12.89,149.03,154.06
12.93,146.6,147.39
12.96,137.26,140.02
13.0,128.78,134.83
13.04,108.73,127.52
13.08,90.62,120.0
13.12,86.8,106.32
13.16,86.42,99.4
13.2,80.33,90.63
13.24,58.52,82.75
13.28,57.74,77.64
13.32,59.06,73.83
13.35,59.63,70.0
13.39,61.1,67.8
13.43,57.46,67.22
13.47,53.71,68.09
13.51,52.71,68.71
13.55,55.22,70.13
13.59,52.3,72.26
13.63,51.87,75.85
13.67,57.03,81.23
13.71,69.6,86.84
13.75,87.81,92.02
13.78,97.38,98.62
13.82,101.46,104.21
13.86,106.84,111.27
13.9,110.26,117.13
13.94,118.12,121.72
13.98,118.84,128.96
14.02,127.68,136.13
14.06,135.32,142.28
14.1,144.74,147.96
14.14,149.07,153.32
14.17,147.8,154.99
14.21,145.55,155.06
14.25,141.83,154.84
14.29,139.94,149.83
14.33,137.12,143.09
14.37,124.49,134.98
14.41,111.69,120.81
14.45,94.88,106.93
14.49,92.03,99.5
14.53,84.7,89.53
14.57,80.79,82.91
14.6,80.17,76.12
14.64,89.46,71.11
14.68,72.61,70.87
14.72,76.5,70.59
14.76,71.02,72.0
14.8,77.58,72.33
14.84,86.9,73.31
14.88,74.93,74.03
14.92,74.17,74.77
14.96,85.26,78.15
14.99,79.26,84.95
15.03,99.8,92.64
15.07,114.74,102.51
15.11,123.92,111.09
15.15,116.17,117.25
15.19,109.39,121.93
15.23,111.41,127.51
15.27,115.89,133.16
15.31,120.23,138.58
15.35,132.92,145.3
15.39,144.19,149.51
15.42,146.46,152.19
15.46,145.15,152.44
15.5,142.98,151.42
15.54,141.37,148.0
15.58,138.4,145.48
15.62,133.0,141.87
15.66,122.09,134.81
15.7,112.0,124.54
15.74,96.86,112.09
15.78,83.34,100.52
15.81,80.65,89.72
15.85,72.68,83.51
15.89,79.91,72.98
15.93,69.63,70.47
15.97,68.4,67.69
16.01,87.6,62.76
16.05,138.18,63.82
16.09,148.92,60.46
16.13,100.34,62.62
16.17,160.87,65.38
16.21,84.72,66.37
16.24,61.48,66.8
16.28,69.97,68.47
16.32,74.67,77.03
16.36,84.76,79.83
16.4,87.36,84.37
16.44,93.89,88.0
16.48,94.88,91.19
16.52,93.65,93.84
16.56,88.47,94.94
16.6,95.0,97.45
16.63,98.52,101.8
16.67,101.47,106.06
16.71,115.72,110.55
16.75,119.87,123.29
16.79,125.5,131.38
16.83,137.25,137.08
16.87,143.83,144.14
16.91,145.85,148.44
16.95,149.31,152.88
16.99,154.43,155.41
17.03,156.23,156.34
17.06,152.07,158.33
17.1,155.1,159.74
17.14,156.82,161.06
17.18,144.55,160.94
17.22,142.29,161.84
17.26,139.23,162.43
17.3,138.2,163.79
17.34,140.86,163.58
17.38,142.2,163.09
17.42,143.98,166.16
17.45,147.36,165.52
17.49,149.47,164.56
17.53,154.46,163.81
17.57,155.21,161.66
17.61,152.41,159.48
17.65,149.2,156.37
17.69,136.99,154.15
17.73,142.27,154.05
17.77,145.15,152.9
17.81,148.26,152.41
17.85,152.08,152.36
17.88,150.9,152.45
17.92,156.0,152.9
17.96,157.83,152.26
18.0,156.18,151.98
18.04,148.81,152.74
18.08,148.14,152.93
18.12,144.08,153.02
18.16,139.29,151.06
18.2,139.1,148.41
18.24,142.52,146.66
18.27,141.39,145.28
18.31,141.52,145.13
18.35,144.95,146.89
18.39,145.84,149.76
18.43,144.69,153.82
18.47,144.03,155.37
18.51,142.31,154.61
18.55,142.53,149.55
18.59,135.48,145.11
18.63,127.27,138.38
18.67,122.53,133.07
18.7,120.94,128.21
18.74,122.22,124.24
18.78,121.32,122.9
18.82,122.59,119.73
18.86,118.79,117.97
18.9,113.67,115.3
18.94,154.15,108.76
18.98,161.86,105.06
19.02,169.83,106.08
19.06,95.32,107.46
19.09,104.08,107.48
19.13,113.2,109.43
19.17,122.2,116.55
19.21,126.93,121.89
19.25,131.61,129.51
19.29,137.98,136.14
19.33,143.59,143.6
19.37,149.21,149.32
19.41,149.46,145.58
19.45,146.63,140.56
19.49,135.21,131.16
19.52,123.3,123.38
19.56,126.73,116.85
19.6,129.91,114.63
19.64,124.02,110.34
19.68,115.36,104.97
19.72,104.16,101.55
19.76,105.18,100.2
19.8,108.85,102.56
19.84,114.68,105.81
19.88,121.32,116.81
19.91,132.02,128.4
19.95,141.85,137.17
19.99,146.96,145.92
20.03,152.94,151.61
20.07,154.17,150.36
20.11,153.9,145.98
20.15,150.76,144.79
20.19,142.36,133.44
20.23,138.05,123.3
20.27,129.03,115.8
20.31,128.07,110.84
20.34,121.38,106.19
20.38,118.15,103.77
20.42,117.27,103.89
20.46,120.82,106.67
20.5,123.82,109.71
20.54,125.63,114.79
20.58,126.66,123.07
20.62,131.25,133.66
20.66,140.56,139.04
20.7,142.19,144.76
20.73,143.57,147.28
20.77,142.13,148.27
20.81,137.27,144.56
20.85,134.29,131.49
20.89,128.68,120.63
20.93,127.2,119.41
20.97,124.15,118.46
21.01,118.4,112.03
21.05,115.43,107.9
21.09,117.45,107.61
21.13,118.78,107.25
21.16,121.88,109.18
21.2,124.13,112.31
21.24,123.75,115.72
21.28,127.56,124.63
21.32,136.1,131.5
21.36,139.27,140.15
21.4,141.03,145.86
21.44,143.21,145.93
21.48,139.17,146.46
21.52,138.01,137.83
21.55,133.51,126.76
21.59,129.1,121.29
21.63,126.34,118.36
21.67,120.86,112.25
21.71,116.11,109.92
21.75,108.78,104.51
21.79,111.52,102.22
21.83,113.61,101.56
21.87,115.3,106.17
21.91,128.12,113.64
21.95,137.47,131.91
21.98,140.78,145.29
22.02,151.21,151.8
22.06,151.5,158.92
22.1,157.3,162.34
22.14,162.47,162.15
22.18,162.67,167.74
22.22,159.22,161.05
22.26,160.58,153.57
22.3,163.84,148.66
22.34,162.41,143.63
22.37,157.38,128.77
22.41,156.25,115.65
22.45,153.73,103.8
22.49,146.9,94.87
22.53,151.04,91.21
22.57,153.14,102.21
22.61,151.07,115.56
22.65,160.18,133.67
22.69,167.04,143.57
22.73,164.61,150.44
22.77,161.96,162.5
22.8,161.08,173.14
22.84,164.62,175.3
22.88,164.73,177.26
22.92,166.37,173.07
22.96,159.69,167.14
23.0,170.04,167.04
23.04,172.07,176.03
23.08,170.65,154.27
23.12,167.57,119.28
23.16,159.65,137.81
23.19,162.77,171.93
23.23,163.94,171.01
23.27,166.28,170.57
23.31,168.6,168.7
23.35,173.28,177.53
23.39,174.57,179.87
23.43,173.07,175.48
23.47,173.49,173.52
