Time(s),Left(deg),Right(deg)
0.04,172.8,167.2
0.08,169.63,118.6
0.12,167.39,120.52
0.16,164.82,128.08
0.2,165.61,115.58
0.23,158.04,115.3
0.27,153.95,144.68
0.31,149.87,145.01
0.35,149.42,145.6
0.39,149.45,149.05
0.43,151.87,151.71
0.47,151.74,153.55
0.51,149.49,156.73
0.55,148.32,156.43
0.59,146.32,159.27
0.62,148.94,157.38
0.66,141.94,155.61
0.7,141.17,153.44
0.74,140.99,154.99
0.78,136.3,155.39
0.82,136.08,156.11
0.86,132.18,153.28
0.9,137.11,150.65
0.94,140.32,153.32
0.98,139.49,154.04
1.02,133.03,156.86
1.05,134.9,159.46
1.09,137.95,159.63
1.13,137.77,156.91
1.17,137.49,156.99
1.21,131.72,149.33
1.25,127.65,133.51
1.29,122.37,125.13
1.33,121.35,120.84
1.37,121.65,116.15
1.41,124.03,125.25
1.44,130.64,136.5
1.48,151.04,144.43
1.52,158.29,151.24
1.56,158.53,151.98
1.6,164.64,155.56
1.64,163.45,157.65
1.68,162.25,159.95
1.72,153.1,159.35
1.76,144.16,157.52
1.8,139.23,157.37
1.84,136.47,157.03
1.87,140.33,161.4
1.91,145.91,159.76
1.95,155.24,159.93
1.99,156.76,159.9
2.03,156.05,160.27
2.07,157.3,161.52
2.11,153.36,161.83
2.15,150.85,160.48
2.19,153.5,159.76
2.23,155.31,159.45
2.26,159.0,158.35
2.3,159.24,157.21
2.34,156.04,149.3
2.38,152.94,139.98
2.42,149.98,134.01
2.46,148.08,135.72
2.5,150.1,138.4
2.54,150.99,141.41
2.58,150.42,144.73
2.62,154.77,149.76
2.66,154.67,150.29
2.69,156.15,153.23
2.73,157.69,153.89
2.77,156.18,154.91
2.81,156.32,155.32
2.85,157.71,156.9
2.89,157.84,159.17
2.93,158.35,159.71
2.97,157.49,160.73
3.01,158.43,162.04
3.05,160.32,162.12
3.08,159.68,162.64
3.12,154.42,162.51
3.16,147.18,162.05
3.2,149.52,162.3
3.24,147.83,161.94
3.28,149.45,161.47
3.32,151.5,162.35
3.36,152.65,161.59
3.4,152.09,161.44
3.44,159.71,160.67
3.48,153.59,158.68
3.51,150.47,150.98
3.55,142.07,143.65
3.59,128.39,137.82
3.63,122.2,131.01
3.67,104.85,122.03
3.71,93.34,117.33
3.75,84.3,110.48
3.79,78.87,107.06
3.83,75.88,100.35
3.87,64.29,97.55
3.9,64.02,91.33
3.94,64.59,91.77
3.98,60.48,91.49
4.02,56.05,92.45
4.06,58.89,92.45
4.1,53.47,93.01
4.14,60.31,92.91
4.18,65.68,92.77
4.22,67.91,100.93
4.26,66.92,102.2
4.3,73.51,107.45
4.33,78.0,115.17
4.37,82.52,121.52
4.41,101.59,130.7
4.45,113.74,138.78
4.49,122.07,143.56
4.53,131.82,151.14
4.57,146.38,156.44
4.61,155.87,161.4
4.65,154.63,163.82
4.69,153.83,159.03
4.72,149.84,155.05
4.76,138.65,146.91
4.8,118.66,138.4
4.84,104.71,131.23
4.88,92.57,122.44
4.92,75.88,107.63
4.96,72.15,92.93
5.0,65.59,85.54
5.04,61.97,81.76
5.08,55.06,80.4
5.12,50.96,79.0
5.15,50.85,78.05
5.19,48.75,77.38
5.23,51.25,78.87
5.27,52.39,80.46
5.31,59.48,86.43
5.35,61.52,92.47
5.39,69.38,98.14
5.43,78.51,106.14
5.47,85.54,114.72
5.51,93.6,120.72
5.54,104.86,127.75
5.58,105.28,135.43
5.62,115.68,143.91
5.66,132.35,150.08
5.7,148.67,154.26
5.74,162.42,158.07
5.78,161.28,161.43
5.82,156.64,158.54
5.86,150.8,151.89
5.9,147.05,149.04
5.94,144.72,144.69
5.97,121.32,139.71
6.01,96.3,129.99
6.05,83.48,114.77
6.09,76.76,108.33
6.13,72.48,100.97
6.17,69.91,91.78
6.21,65.03,88.95
6.25,63.01,83.91
6.29,58.58,81.08
6.33,58.11,77.09
6.36,57.05,76.73
6.4,57.12,75.32
6.44,55.48,74.95
6.48,56.02,77.28
6.52,57.24,76.63
6.56,60.82,77.2
6.6,70.41,82.74
6.64,74.29,85.4
6.68,74.91,94.26
6.72,72.87,97.06
6.76,75.66,102.98
6.79,78.75,106.0
6.83,83.17,113.07
6.87,92.33,118.55
6.91,96.87,123.18
6.95,109.47,130.41
6.99,112.29,133.89
7.03,110.89,135.63
7.07,117.34,146.82
7.11,120.14,149.17
7.15,135.37,152.32
7.18,149.97,156.47
7.22,162.6,156.48
7.26,170.15,157.21
7.3,176.35,157.08
7.34,176.39,158.45
7.38,175.53,159.39
7.42,174.58,160.01
7.46,174.14,160.03
7.5,173.5,162.98
7.54,173.0,162.09
7.58,170.8,162.13
7.61,169.43,161.61
7.65,167.97,162.39
7.69,162.8,162.94
7.73,160.22,165.61
7.77,150.49,168.43
7.81,153.06,172.32
7.85,156.23,175.46
7.89,155.94,179.6
7.93,156.69,177.23
7.97,163.35,172.52
8.0,164.84,169.28
8.04,162.33,162.32
8.08,137.06,144.33
8.12,148.25,134.9
8.16,156.49,121.41
8.2,163.83,106.99
8.24,160.87,91.89
8.28,152.4,66.3
8.32,151.15,55.22
8.36,151.54,49.92
8.4,149.14,58.32
