Time(s),Left(deg),Right(deg)
8.72,120.55,134.34
8.76,134.97,147.8
8.8,145.41,157.57
8.84,151.53,158.8
8.88,143.36,155.48
8.92,136.75,149.09
8.96,131.82,139.74
9.0,113.84,129.43
9.03,98.5,116.38
9.07,87.65,104.99
9.11,78.17,92.73
9.15,75.54,86.09
9.19,70.25,80.71
9.23,64.27,75.52
9.27,63.85,70.24
9.31,59.61,65.16
9.34,56.27,62.73
9.38,56.67,60.6
9.42,55.98,59.57
9.46,65.71,60.99
9.5,72.81,61.03
9.54,59.58,61.65
9.58,86.68,62.11
9.62,68.89,62.57
9.65,70.28,63.06
9.69,84.49,63.9
9.73,75.37,66.74
9.77,70.25,68.05
9.81,66.39,71.21
9.85,66.19,74.94
9.89,66.95,78.67
9.93,65.28,82.7
9.96,68.07,87.72
10.0,74.8,90.66
10.04,80.97,96.76
10.08,83.62,103.19
10.12,94.81,113.59
10.16,112.15,124.62
10.2,123.51,136.49
10.24,138.76,146.86
10.27,147.0,153.48
10.31,142.98,154.43
10.35,140.84,152.07
10.39,137.28,148.27
10.43,129.01,140.86
10.47,122.73,131.84
10.51,110.95,119.47
10.55,97.49,108.54
10.59,87.93,99.1
10.62,82.05,90.82
10.66,73.78,85.37
10.7,65.48,79.73
10.74,61.16,73.94
10.78,56.98,70.16
10.82,48.59,66.77
10.86,54.4,62.63
10.9,60.7,59.66
10.93,65.96,58.84
10.97,70.49,61.26
11.01,67.85,64.71
11.05,71.54,64.97
11.09,68.86,65.22
11.13,77.62,65.44
11.17,86.12,65.68
11.21,107.48,66.05
11.24,68.9,66.56
11.28,69.71,69.23
11.32,59.6,74.2
11.36,63.46,79.46
11.4,65.18,82.28
11.44,71.01,86.4
11.48,71.49,90.18
11.52,79.36,95.84
11.55,86.17,102.12
11.59,95.6,111.53
11.63,106.17,121.24
11.67,120.47,133.69
11.71,133.5,145.0
11.75,149.26,156.82
11.79,152.76,159.9
11.83,155.31,162.04
11.86,152.71,161.31
11.9,146.22,156.57
11.94,143.74,145.85
11.98,133.64,137.08
12.02,116.83,128.47
12.06,100.89,117.54
12.1,90.14,108.33
12.14,82.56,96.4
12.17,77.94,88.46
12.21,71.96,81.65
12.25,68.84,76.53
12.29,73.36,70.22
12.33,65.05,66.17
12.37,60.61,61.46
12.41,75.16,58.04
12.45,66.7,56.71
12.48,58.67,56.54
12.52,72.53,57.45
12.56,72.65,57.93
12.6,71.35,57.92
12.64,63.02,58.25
12.68,60.02,61.25
12.72,70.2,65.82
12.76,64.09,70.27
12.8,65.5,76.2
12.83,64.99,81.27
12.87,65.13,84.13
12.91,67.35,86.61
12.95,69.46,89.76
12.99,73.03,95.73
13.03,81.32,103.94
13.07,94.66,115.87
13.11,109.49,126.58
13.14,128.56,137.34
13.18,143.39,150.79
13.22,147.41,157.55
13.26,150.17,157.24
13.3,146.43,155.78
13.34,140.61,153.08
13.38,138.27,147.09
13.42,129.22,139.38
13.45,113.08,128.98
13.49,102.87,118.72
13.53,96.28,108.79
13.57,86.57,100.01
13.61,75.23,91.85
13.65,69.89,86.54
13.69,68.71,75.76
13.73,61.13,71.67
13.76,61.25,66.01
13.8,56.54,65.14
13.84,54.0,62.55
13.88,49.42,60.29
13.92,52.67,64.31
13.96,54.1,62.53
14.0,56.07,62.98
14.04,60.82,64.48
14.07,56.97,64.24
14.11,57.93,64.17
14.15,68.7,65.11
14.19,71.22,67.81
14.23,67.8,71.32
14.27,68.02,75.46
14.31,67.79,79.55
14.35,70.9,81.92
14.38,71.72,84.81
14.42,75.84,89.39
14.46,79.12,93.02
14.5,83.73,97.6
14.54,88.69,106.71
14.58,94.05,119.33
14.62,110.4,131.24
14.66,125.28,140.83
14.69,137.97,148.69
14.73,140.94,151.11
14.77,140.58,150.17
14.81,136.19,145.82
14.85,134.93,139.77
14.89,121.48,133.81
14.93,105.3,124.37
14.97,95.69,113.81
15.01,88.05,101.87
15.04,81.42,94.09
15.08,75.2,89.2
15.12,67.98,85.94
15.16,67.68,77.99
15.2,50.72,73.51
15.24,48.38,67.89
15.28,48.9,66.45
15.32,75.16,66.52
15.35,93.9,65.61
15.39,78.58,67.71
15.43,61.45,67.62
15.47,55.98,67.04
15.51,57.64,66.91
15.55,56.98,65.74
15.59,55.0,63.37
15.63,66.81,62.89
15.66,72.86,63.95
15.7,79.39,65.32
15.74,62.3,69.66
15.78,58.86,72.58
15.82,61.73,75.57
15.86,64.07,79.66
15.9,68.2,82.71
15.94,71.73,86.48
15.97,74.36,90.1
16.01,77.37,95.31
16.05,87.93,102.58
16.09,94.16,112.25
16.13,109.4,122.92
16.17,122.45,133.93
16.21,138.3,145.53
16.25,143.99,153.55
16.28,148.79,155.86
16.32,151.98,156.27
16.36,147.05,155.32
16.4,142.34,145.23
16.44,127.39,140.4
16.48,109.89,131.3
16.52,100.63,121.45
16.56,92.06,110.06
16.59,84.42,98.4
16.63,74.48,88.13
16.67,64.88,84.23
16.71,62.93,73.21
16.75,59.82,67.61
16.79,50.23,65.12
16.83,54.61,62.05
16.87,53.16,59.66
16.91,63.73,62.14
16.94,61.39,62.02
16.98,53.81,61.45
17.02,57.08,62.62
17.06,57.64,62.37
17.1,75.08,61.37
17.14,90.89,62.55
17.18,91.07,65.73
17.22,80.98,68.36
17.25,67.22,70.48
17.29,69.83,75.46
17.33,71.44,81.7
17.37,69.15,85.38
17.41,72.11,88.57
17.45,76.21,93.66
17.49,80.22,98.76
17.53,83.64,103.74
17.56,87.43,109.19
17.6,98.45,120.2
17.64,110.47,129.78
17.68,124.28,137.44
17.72,133.66,144.44
17.76,142.89,152.81
17.8,148.18,153.5
17.84,146.42,152.45
17.87,140.49,151.1
17.91,132.82,143.15
17.95,114.24,135.87
17.99,101.34,124.24
18.03,91.36,112.8
18.07,85.9,101.1
18.11,79.12,90.58
18.15,69.04,87.54
18.18,65.61,76.35
18.22,67.07,70.65
18.26,66.81,67.87
18.3,58.16,67.88
18.34,59.06,68.61
18.38,72.04,69.29
18.42,68.68,70.33
18.46,70.33,71.78
18.49,56.11,72.29
18.53,56.84,70.79
18.57,59.8,69.82
18.61,107.26,66.9
18.65,71.25,67.78
18.69,71.48,70.97
18.73,67.11,73.36
18.77,65.93,77.0
18.8,63.86,81.02
18.84,63.37,83.93
18.88,64.73,88.39
18.92,71.51,93.3
18.96,78.93,98.35
19.0,90.47,105.8
19.04,104.48,116.14
19.08,117.3,124.21
19.12,129.69,133.6
19.15,140.74,145.25
19.19,142.52,150.33
19.23,148.48,154.77
19.27,147.67,153.31
19.31,143.63,151.37
19.35,140.8,146.9
19.39,132.49,141.06
19.43,119.21,132.52
19.46,104.8,120.8
19.5,96.96,109.62
19.54,85.11,97.49
19.58,76.52,87.65
19.62,65.4,84.71
19.66,63.13,77.65
19.7,58.47,70.38
19.74,53.22,66.82
19.77,48.17,64.71
19.81,50.64,64.02
19.85,83.19,65.64
19.89,68.75,67.19
19.93,63.21,68.26
19.97,72.33,68.54
20.01,76.39,69.42
20.05,94.92,68.37
20.08,103.69,66.97
20.12,99.24,65.69
20.16,66.29,68.46
20.2,71.95,71.37
20.24,64.8,74.04
20.28,62.24,77.46
20.32,62.75,80.44
20.36,64.35,83.63
20.39,70.37,86.87
20.43,73.63,91.18
20.47,81.65,95.04
20.51,85.54,100.43
20.55,91.53,106.45
20.59,106.39,117.53
20.63,115.02,127.54
20.67,127.88,136.77
20.7,134.81,144.55
20.74,140.83,153.07
20.78,146.58,156.84
20.82,146.75,156.87
20.86,147.0,156.76
20.9,148.86,157.38
20.94,150.74,157.53
20.98,150.69,158.77
21.02,151.55,158.92
21.05,151.55,159.51
21.09,151.52,158.6
21.13,150.74,159.18
21.17,151.77,158.99
21.21,150.85,159.41
21.25,150.68,159.2
21.29,149.93,159.45
21.33,150.27,159.61
21.36,149.11,159.51
21.4,147.39,159.77
21.44,143.2,160.68
21.48,142.3,160.76
21.52,142.33,160.87
21.56,142.33,161.24
21.6,141.05,162.27
21.64,139.82,162.43
21.67,140.94,163.78
21.71,142.62,164.49
21.75,144.72,164.71
21.79,147.38,164.77
21.83,145.99,165.95
21.87,146.16,166.07
21.91,146.37,166.2
21.95,144.58,166.34
21.98,144.33,166.49
22.02,143.27,166.38
22.06,142.42,167.32
22.1,141.98,167.01
22.14,142.77,166.97
22.18,144.72,167.44
22.22,142.59,167.57
22.26,142.54,167.64
22.29,142.96,167.3
22.33,143.75,167.33
22.37,140.54,167.29
22.41,139.92,167.46
