Time(s),Left(deg),Right(deg)
0.04,153.44,160.66
0.08,152.64,160.64
0.12,152.51,160.43
0.16,150.89,160.6
0.19,149.37,160.57
0.23,146.96,160.47
0.27,145.7,160.42
0.31,145.11,159.81
0.35,146.24,159.74
0.39,147.22,159.77
0.43,147.0,159.57
0.47,145.93,159.12
0.5,141.27,155.7
0.54,126.13,146.6
0.58,112.2,136.69
0.62,97.08,123.51
0.66,86.44,114.35
0.7,74.75,104.99
0.74,68.26,92.65
0.78,64.09,80.74
0.81,60.63,75.24
0.85,54.95,68.83
0.89,54.83,66.05
0.93,57.32,63.61
0.97,66.78,60.47
1.01,61.79,58.42
1.05,59.11,57.85
1.09,52.86,62.49
1.12,59.33,60.43
1.16,62.97,59.98
1.2,60.38,61.12
1.24,57.65,60.15
1.28,59.96,57.9
1.32,66.87,57.84
1.36,82.31,61.87
1.4,83.14,66.09
1.43,54.83,68.72
1.47,55.33,72.39
1.51,66.71,78.59
1.55,76.77,85.5
1.59,86.25,91.73
1.63,93.82,102.0
1.67,99.88,120.41
1.71,111.75,139.84
1.74,128.63,152.29
1.78,137.43,154.96
1.82,136.11,153.79
1.86,133.91,151.54
1.9,132.35,148.63
1.94,128.16,144.1
1.98,109.11,135.35
2.02,93.67,120.76
2.05,82.78,105.67
2.09,75.04,92.51
2.13,68.4,86.9
2.17,61.33,79.44
2.21,62.29,72.67
2.25,56.69,64.99
2.29,52.08,64.05
2.33,56.14,61.82
2.37,53.16,61.79
2.4,49.4,60.46
2.44,51.94,65.16
2.48,57.98,63.77
2.52,66.18,64.4
2.56,60.63,63.3
2.6,58.82,62.36
2.64,62.3,64.14
2.68,63.19,67.32
2.71,56.86,73.05
2.75,64.3,74.9
2.79,68.18,80.1
2.83,71.76,86.21
2.87,76.47,93.71
2.91,84.01,101.38
2.95,91.05,114.82
2.99,106.59,131.15
3.02,127.24,147.99
3.06,144.19,154.67
3.1,148.8,156.93
3.14,144.71,153.68
3.18,140.11,151.87
3.22,136.58,147.59
3.26,126.65,137.71
3.3,111.84,127.59
3.33,93.41,113.05
3.37,84.39,96.97
3.41,71.55,87.43
3.45,65.72,80.78
3.49,61.9,75.59
3.53,57.66,68.64
3.57,54.7,61.93
3.61,70.3,60.72
3.64,61.57,57.94
3.68,69.92,57.61
3.72,83.7,60.48
3.76,86.88,59.32
3.8,89.33,60.22
3.84,57.72,59.55
3.88,85.67,61.6
3.92,74.73,62.23
3.95,71.64,63.15
3.99,67.2,66.15
4.03,67.16,69.64
4.07,71.23,73.21
4.11,71.04,79.31
4.15,72.45,84.11
4.19,75.76,89.52
4.23,78.6,96.12
4.27,89.85,102.17
4.3,95.55,113.16
4.34,108.82,125.59
4.38,124.34,142.86
4.42,143.68,157.6
4.46,147.65,159.27
4.5,148.73,156.12
4.54,140.69,154.65
4.58,132.18,145.83
4.61,120.8,136.11
4.65,109.4,124.09
4.69,100.34,110.26
4.73,87.51,99.37
4.77,75.42,89.11
4.81,69.37,81.9
4.85,62.71,74.77
4.89,55.75,70.66
4.92,55.98,65.1
4.96,53.79,61.64
5.0,48.58,58.68
5.04,49.4,56.71
5.08,52.28,56.56
5.12,53.38,57.79
5.16,51.48,55.55
5.2,52.75,56.56
5.23,51.67,59.97
5.27,53.78,60.62
5.31,54.14,61.83
5.35,57.48,62.72
5.39,72.08,62.03
5.43,70.42,63.38
5.47,70.68,67.49
5.51,62.81,70.71
5.54,64.99,72.39
5.58,65.97,76.91
5.62,65.24,82.43
5.66,71.35,87.37
5.7,72.45,91.82
5.74,78.53,98.68
5.78,90.32,107.45
5.82,101.76,121.35
5.85,117.91,135.77
5.89,134.88,147.33
5.93,144.17,155.97
5.97,146.98,155.04
6.01,143.49,153.46
6.05,138.63,150.43
6.09,131.67,140.38
6.13,116.75,126.83
6.16,103.06,114.81
6.2,94.76,103.88
6.24,82.48,92.75
6.28,75.37,85.36
6.32,66.77,79.0
6.36,61.58,74.25
6.4,59.26,70.39
6.44,59.35,66.07
6.48,62.65,61.71
6.51,56.73,58.23
6.55,69.82,57.37
6.59,64.08,57.79
6.63,58.47,58.4
6.67,54.55,59.84
6.71,53.67,60.31
6.75,53.38,59.84
6.79,80.45,59.91
6.82,91.24,60.29
6.86,67.55,59.92
6.9,78.45,59.59
6.94,70.22,63.26
6.98,63.21,68.41
7.02,62.64,73.55
7.06,66.2,79.1
7.1,65.67,83.6
7.13,71.41,88.96
7.17,80.15,93.27
7.21,84.29,101.11
7.25,91.52,112.35
7.29,110.0,127.19
7.33,122.82,141.74
7.37,139.5,152.73
7.41,143.84,154.8
7.44,143.0,154.19
7.48,138.47,152.4
7.52,133.79,147.9
7.56,126.43,140.19
7.6,110.96,128.34
7.64,98.61,115.77
7.68,88.64,104.81
7.72,82.49,92.44
7.75,76.14,85.89
7.79,68.52,76.72
7.83,58.13,69.25
7.87,59.57,64.09
7.91,60.7,63.07
7.95,61.39,60.04
7.99,52.9,59.03
8.03,51.45,59.83
8.06,55.87,58.73
8.1,63.07,60.46
8.14,58.21,61.78
8.18,67.42,62.49
8.22,77.33,62.42
8.26,74.12,62.19
8.3,86.47,64.36
8.34,92.56,65.91
8.37,70.05,69.58
8.41,64.9,72.33
8.45,69.68,77.08
8.49,68.81,80.8
8.53,67.44,84.86
8.57,71.75,88.77
8.61,83.34,96.21
8.65,89.09,106.35
8.69,103.9,121.2
