Time(s),Left(deg),Right(deg)
0.04,108.29,179.53
0.08,108.25,179.22
0.12,107.48,177.17
0.16,106.82,175.49
0.2,103.62,172.48
0.24,100.82,167.98
0.28,96.94,159.21
0.32,93.54,156.4
0.36,87.78,151.68
0.4,83.36,122.03
0.44,77.97,115.44
0.48,73.49,96.69
0.52,72.74,79.78
0.56,70.41,60.21
0.6,68.81,56.89
0.64,67.47,56.82
0.68,66.51,55.68
0.72,65.87,53.85
0.76,63.93,47.61
0.8,62.97,47.99
0.84,62.79,45.48
0.88,62.08,45.47
0.92,61.07,43.2
0.96,61.64,44.28
1.0,61.86,45.0
1.04,61.81,46.24
1.08,61.93,45.28
1.12,62.1,45.22
1.16,62.21,49.76
1.2,62.78,54.18
1.24,64.61,55.6
1.28,67.65,59.65
1.32,71.83,62.34
1.36,74.51,77.62
1.4,78.98,102.71
1.44,80.61,127.55
1.48,84.24,139.88
1.52,88.08,158.68
1.56,93.71,168.28
1.6,97.28,174.84
1.64,102.62,175.54
1.68,105.81,176.61
1.72,112.84,176.72
1.76,117.41,175.89
1.8,122.04,176.09
1.84,124.98,176.36
1.88,128.28,176.2
1.92,131.99,176.69
1.96,135.36,177.25
2.0,138.53,177.41
2.04,142.15,178.51
2.08,144.72,179.38
2.12,147.35,178.6
2.16,150.47,178.57
2.2,153.6,179.09
2.24,157.08,179.56
2.28,160.13,179.66
2.32,162.49,179.35
2.36,165.99,179.53
2.4,168.78,180.0
2.44,170.37,179.72
2.48,171.65,179.4
2.52,173.37,179.61
2.56,174.1,179.71
2.6,174.68,179.92
2.64,174.38,179.11
2.68,174.6,178.99
2.72,174.12,178.69
2.76,174.31,178.99
2.8,174.14,178.91
2.84,174.2,178.55
2.88,174.19,178.37
2.92,174.26,178.43
2.96,174.35,178.41
3.0,174.17,178.29
3.04,174.13,178.34
3.08,174.14,178.4
3.12,173.86,178.54
3.16,173.77,178.52
3.2,173.61,178.26
3.24,172.91,178.03
3.28,171.58,177.78
3.32,170.77,177.69
3.36,169.95,177.32
3.4,168.62,177.15
3.44,167.2,177.37
3.48,165.11,177.8
3.52,163.47,177.92
3.56,161.25,178.04
3.6,159.12,177.23
3.64,156.56,178.4
3.68,155.25,178.02
3.72,153.34,178.19
3.76,150.03,178.61
3.8,147.7,178.92
3.84,143.93,179.01
3.88,138.8,178.4
3.92,136.9,176.33
3.96,134.44,174.66
4.0,129.19,174.77
4.04,122.25,174.94
4.08,118.77,173.73
4.12,114.0,173.43
4.16,108.39,171.47
4.2,102.09,170.26
4.24,99.21,165.39
4.28,93.33,157.25
4.32,87.33,149.78
4.36,84.74,120.89
4.4,79.19,119.54
4.44,76.68,109.04
4.48,72.41,92.18
4.52,71.55,70.31
4.56,69.07,62.22
4.6,66.84,51.71
4.64,65.73,50.72
4.68,65.57,47.37
4.72,64.61,47.85
4.76,64.62,48.77
4.8,62.01,49.86
4.84,60.23,54.33
4.88,60.5,55.27
4.92,60.97,54.18
4.96,61.48,55.59
5.0,61.48,55.66
5.04,61.53,59.65
5.08,62.05,59.34
5.12,62.22,62.68
5.16,62.82,62.2
5.2,64.33,59.01
5.24,66.1,59.23
5.28,67.47,62.54
5.32,68.94,65.1
5.36,71.19,81.1
5.4,73.31,91.95
5.44,75.53,94.94
5.48,80.6,131.59
5.52,83.09,140.99
5.56,86.38,156.04
5.6,89.78,154.46
5.64,93.22,161.01
5.68,94.9,167.96
5.72,101.86,169.63
5.76,101.51,171.12
5.8,110.12,172.96
5.84,113.99,174.36
5.88,116.43,174.58
5.92,122.92,174.51
5.96,127.46,174.83
6.0,131.65,175.2
6.04,135.67,175.41
6.08,138.34,177.12
6.12,140.78,178.15
6.16,143.47,178.34
6.2,146.11,178.72
6.24,148.49,179.96
6.28,151.39,179.75
6.32,154.18,179.71
6.36,156.2,179.67
6.4,157.97,179.97
6.44,159.96,179.35
6.48,162.22,178.59
6.52,164.01,179.31
6.56,165.9,178.71
6.6,167.14,178.36
6.64,168.08,178.69
6.68,169.13,178.32
6.72,170.53,178.03
6.76,170.74,177.59
6.8,170.71,177.52
6.84,170.74,177.58
6.88,170.77,177.71
6.92,170.85,178.19
6.96,170.99,178.14
7.0,170.92,178.12
7.04,171.04,177.96
7.08,170.85,178.04
7.12,170.95,177.73
7.16,171.03,177.55
7.2,171.06,177.23
7.24,170.98,177.14
7.28,170.71,177.13
7.32,170.32,177.26
7.36,170.11,177.26
7.4,169.41,176.56
7.44,168.82,176.74
7.48,167.78,176.87
7.52,166.08,176.56
7.56,164.84,176.64
7.6,163.91,176.72
7.64,162.95,176.21
7.68,160.88,175.95
7.72,159.04,175.76
7.76,156.63,176.59
7.8,155.1,176.91
7.84,153.61,177.27
7.88,151.8,177.34
7.92,148.87,177.66
7.96,146.37,177.29
8.0,142.26,177.02
8.04,137.82,176.68
8.08,134.81,177.11
8.12,130.2,176.17
8.16,124.65,176.89
8.2,122.36,175.39
8.24,114.16,174.74
8.28,109.75,173.51
8.32,104.85,170.42
8.36,99.68,167.14
8.4,94.68,164.89
8.44,91.9,162.74
8.48,86.13,149.41
8.52,81.86,122.86
8.56,80.83,108.23
8.6,78.83,101.64
8.64,75.68,93.68
8.68,74.56,92.89
8.72,71.75,84.65
8.76,70.73,71.27
8.8,67.27,64.89
8.84,67.71,64.89
8.88,65.65,67.84
8.92,64.16,66.04
8.96,63.13,66.64
9.0,63.26,65.34
9.04,63.02,64.42
9.08,62.85,64.0
9.12,62.68,64.3
9.16,62.8,64.83
9.2,62.78,64.72
9.24,62.42,64.61
9.28,62.78,61.62
9.32,63.14,66.47
9.36,64.17,69.12
9.4,64.24,74.14
9.44,66.59,78.25
9.48,68.28,77.28
9.52,71.3,81.25
9.56,74.96,85.02
9.6,77.29,93.24
9.64,81.93,115.65
9.68,87.28,144.16
9.72,91.87,148.64
9.76,97.87,163.4
9.8,98.43,167.73
9.84,102.66,172.56
9.88,105.25,172.7
9.92,110.43,173.59
9.96,116.13,173.74
10.0,117.15,174.85
10.04,119.92,174.94
10.08,124.51,176.09
10.12,127.54,175.18
10.16,130.2,176.02
10.2,133.98,176.33
10.24,137.7,176.41
10.28,141.58,176.82
10.32,143.31,177.7
10.36,146.12,178.27
10.4,149.02,177.82
10.44,152.7,177.28
10.48,155.47,176.74
10.52,158.66,176.44
10.56,161.02,175.92
10.6,162.69,176.08
10.64,164.17,176.16
10.68,166.04,178.34
10.72,168.86,178.58
10.76,171.18,178.77
10.8,172.99,179.85
10.84,175.1,178.8
10.88,175.47,179.68
10.92,175.43,179.58
10.96,175.1,179.91
11.0,174.95,179.58
11.04,174.91,178.92
11.08,175.2,179.1
11.12,174.91,179.1
11.16,174.74,178.71
11.2,174.63,178.72
11.24,174.72,178.51
11.28,174.65,178.5
11.32,174.58,178.29
11.36,174.58,178.4
11.4,174.3,178.28
11.44,174.13,178.3
11.48,173.62,178.24
11.52,172.13,177.63
11.56,171.13,177.41
11.6,170.18,177.71
11.64,169.63,177.68
11.68,168.52,177.93
11.72,166.88,178.27
11.76,164.95,177.86
11.8,163.74,177.82
11.84,161.7,177.36
11.88,159.66,177.41
11.92,158.23,177.91
11.96,156.07,178.0
12.0,154.1,178.57
12.04,150.7,178.62
12.08,147.51,178.69
12.12,144.61,178.94
12.16,143.14,177.22
12.2,138.87,177.3
12.24,134.42,176.49
12.28,127.96,176.74
12.32,124.35,176.54
12.36,121.0,176.22
12.4,116.09,175.69
12.44,110.71,174.45
12.48,102.71,172.74
12.52,99.99,171.05
12.56,96.54,166.6
12.6,93.75,164.27
12.64,89.14,137.79
12.68,86.3,131.48
12.72,83.8,109.37
12.76,79.99,104.57
12.8,74.56,93.87
12.84,73.2,92.13
12.88,71.17,81.26
12.92,70.18,72.19
12.96,68.07,70.24
13.0,68.22,65.11
13.04,65.75,65.7
13.08,64.93,63.23
13.12,64.19,60.82
13.16,63.62,62.73
13.2,63.04,61.07
13.24,62.76,60.77
13.28,62.66,61.44
13.32,62.83,64.71
13.36,62.7,64.29
13.4,62.91,65.03
13.44,62.98,65.91
13.48,63.13,65.89
13.52,63.28,67.39
13.56,63.81,67.89
13.6,65.92,72.17
13.64,67.55,73.59
13.68,70.27,73.75
13.72,73.23,75.63
13.76,74.77,76.67
13.8,76.31,79.5
13.84,79.92,88.85
13.88,83.88,92.14
13.92,91.08,138.48
13.96,93.0,150.5
14.0,97.58,167.45
14.04,99.55,172.32
14.08,104.14,173.38
14.12,104.61,173.74
14.16,108.58,174.9
14.2,111.55,176.45
14.24,115.86,177.38
14.28,119.45,178.04
14.32,121.91,176.57
14.36,124.61,177.13
14.4,127.7,177.28
14.44,130.18,178.1
14.48,132.74,178.12
14.52,136.88,178.47
14.56,139.83,179.7
14.6,141.96,179.89
14.64,143.37,179.7
14.68,144.85,179.0
14.72,148.17,179.88
14.76,151.38,179.4
14.8,153.9,179.92
14.84,157.49,179.03
14.88,160.68,179.1
14.92,164.21,177.51
14.96,167.12,176.38
15.0,168.39,176.0
15.04,169.59,176.54
15.08,170.52,177.27
15.12,170.89,177.95
15.16,171.02,178.19
15.2,171.21,178.28
15.24,171.32,178.52
15.28,171.58,178.55
15.32,171.74,178.62
15.36,171.81,178.52
15.4,171.79,178.53
15.44,171.85,178.49
15.48,171.98,178.36
15.52,171.89,178.3
15.56,172.01,178.16
