Time(s),Shoulder,Waist
0.04,0.4144,0.6497
0.08,0.4299,0.6268
0.12,0.4377,0.5719
0.16,0.4356,0.5162
0.2,0.4071,0.4649
0.24,0.379,0.4076
0.28,0.3391,0.3667
0.32,0.3041,0.3202
0.36,0.2593,0.2965
0.4,0.2215,0.2593
0.44,0.1854,0.2437
0.48,0.1598,0.2192
0.52,0.1344,0.1862
0.56,0.1067,0.1397
0.6,0.084,0.1145
0.64,0.0796,0.1104
0.68,0.0469,0.0612
0.72,0.0443,0.0414
0.76,0.0284,0.0297
0.8,0.0237,0.0411
0.84,0.0216,0.0313
0.88,0.0204,0.0268
0.92,0.0117,0.0219
0.96,0.0078,0.0123
1.0,0.009,0.0104
1.04,0.0,0.0022
1.08,0.0001,0.0
1.12,0.0033,0.0135
1.16,0.011,0.0213
1.2,0.0269,0.0347
1.24,0.0524,0.0714
1.28,0.0725,0.0789
1.32,0.1124,0.112
1.36,0.1398,0.13
1.4,0.1823,0.1634
1.44,0.2096,0.1704
1.48,0.2374,0.1758
1.52,0.2759,0.1939
1.56,0.3131,0.2046
1.6,0.3441,0.2374
1.64,0.392,0.2987
1.68,0.4175,0.3335
1.72,0.4662,0.3742
1.76,0.495,0.3966
1.8,0.5307,0.4261
1.84,0.5672,0.478
1.88,0.6043,0.5081
1.92,0.6292,0.532
1.96,0.6619,0.5439
2.0,0.7039,0.5741
2.04,0.7331,0.6172
2.08,0.7849,0.6643
2.12,0.793,0.6958
2.16,0.8116,0.7175
2.2,0.8427,0.7394
2.24,0.8707,0.7604
2.28,0.8817,0.7918
2.32,0.886,0.8123
2.36,0.8976,0.8333
2.4,0.915,0.8562
2.44,0.927,0.8791
2.48,0.9358,0.9063
2.52,0.9549,0.9221
2.56,0.9858,0.9327
2.6,0.9918,0.9397
2.64,0.9877,0.9505
2.68,0.9958,0.9577
2.72,1.0,0.9697
2.76,0.9944,0.9746
2.8,0.9833,0.985
2.84,0.9874,0.9877
2.88,0.984,0.9924
2.92,0.9821,0.9936
2.96,0.9791,0.9851
3.0,0.9775,0.9842
3.04,0.9695,0.9826
3.08,0.963,0.9815
3.12,0.9562,0.9781
3.16,0.9534,0.9777
3.2,0.9536,0.9792
3.24,0.9541,0.9811
3.28,0.9515,0.9798
3.32,0.9584,0.9891
3.36,0.9548,0.9876
3.4,0.9484,0.9736
3.44,0.9427,0.9492
3.48,0.9337,0.9229
3.52,0.9242,0.9048
3.56,0.9077,0.8814
3.6,0.8966,0.8612
3.64,0.865,0.8374
3.68,0.8545,0.8259
3.72,0.8422,0.8059
3.76,0.8159,0.7735
3.8,0.7975,0.7521
3.84,0.7556,0.7318
3.88,0.7196,0.7
3.92,0.6864,0.662
3.96,0.6686,0.6514
4.0,0.6355,0.6422
4.04,0.5989,0.6182
4.08,0.5556,0.5825
4.12,0.5154,0.5631
4.16,0.4731,0.5317
4.2,0.4217,0.4626
4.24,0.3845,0.4296
4.28,0.3347,0.373
4.32,0.2804,0.3213
4.36,0.2376,0.2665
4.4,0.2085,0.2518
4.44,0.1743,0.2377
4.48,0.1383,0.2137
4.52,0.1106,0.1766
4.56,0.0843,0.1537
4.6,0.0354,0.1048
4.64,0.0273,0.093
4.68,0.0264,0.0878
4.72,0.023,0.0746
4.76,0.0213,0.0546
4.8,0.0059,0.034
4.84,0.0044,0.0502
4.88,0.001,0.0437
4.92,0.0067,0.0489
4.96,0.01,0.0402
5.0,0.0096,0.041
5.04,0.0145,0.0479
5.08,0.0208,0.0497
5.12,0.0251,0.0461
5.16,0.0344,0.0487
5.2,0.0478,0.0497
5.24,0.0583,0.0655
5.28,0.0739,0.0755
5.32,0.097,0.102
5.36,0.1283,0.1337
5.4,0.1496,0.1743
5.44,0.1661,0.1884
5.48,0.2087,0.2223
5.52,0.2375,0.2396
5.56,0.26,0.2526
5.6,0.2801,0.2684
5.64,0.3147,0.3061
5.68,0.3476,0.3624
5.72,0.3724,0.374
5.76,0.3956,0.4109
5.8,0.445,0.447
5.84,0.4812,0.4701
5.88,0.5118,0.5014
5.92,0.568,0.5513
5.96,0.5945,0.5796
6.0,0.6264,0.5945
6.04,0.6669,0.6171
6.08,0.7067,0.6524
6.12,0.7548,0.6843
6.16,0.7857,0.7159
6.2,0.8257,0.7473
6.24,0.8368,0.7706
6.28,0.8526,0.7818
6.32,0.8781,0.8114
6.36,0.8847,0.8363
6.4,0.8944,0.8566
6.44,0.9116,0.8734
6.48,0.9241,0.8991
6.52,0.924,0.9128
6.56,0.9385,0.9294
6.6,0.9457,0.9423
6.64,0.9512,0.9477
6.68,0.9494,0.9549
6.72,0.9557,0.9673
6.76,0.9594,0.9798
6.8,0.9629,0.9852
6.84,0.9552,0.9893
6.88,0.9611,0.9927
6.92,0.9667,0.999
6.96,0.9687,1.0
7.0,0.9702,0.9961
7.04,0.9735,0.9839
7.08,0.9698,0.9748
7.12,0.9684,0.9711
7.16,0.9671,0.9675
7.2,0.9592,0.9616
7.24,0.9584,0.9584
7.28,0.9517,0.9483
7.32,0.9442,0.9377
7.36,0.9356,0.9267
7.4,0.9365,0.9225
7.44,0.9315,0.9147
7.48,0.9273,0.9046
7.52,0.9277,0.9005
7.56,0.9063,0.8775
7.6,0.8973,0.8593
7.64,0.8863,0.8506
7.68,0.8771,0.8423
7.72,0.8692,0.833
7.76,0.8513,0.8148
7.8,0.8409,0.8015
7.84,0.8314,0.7885
7.88,0.8001,0.7692
7.92,0.7812,0.7519
7.96,0.7658,0.7265
8.0,0.7248,0.688
8.04,0.6931,0.6602
8.08,0.6653,0.6338
8.12,0.6289,0.608
8.16,0.593,0.5964
8.2,0.5741,0.5599
8.24,0.5206,0.5234
8.28,0.4747,0.4644
8.32,0.4267,0.4183
8.36,0.3739,0.3725
8.4,0.3408,0.3473
8.44,0.308,0.3088
8.48,0.2659,0.2833
8.52,0.2289,0.2447
8.56,0.2005,0.2247
8.6,0.1797,0.2043
8.64,0.1542,0.1711
8.68,0.1443,0.1662
8.72,0.1178,0.137
8.76,0.0862,0.101
8.8,0.0613,0.0896
8.84,0.0671,0.0847
8.88,0.0553,0.0895
8.92,0.0454,0.0851
8.96,0.0408,0.0878
9.0,0.0389,0.0855
9.04,0.0373,0.082
9.08,0.0355,0.0833
9.12,0.0344,0.0849
9.16,0.0361,0.076
9.2,0.035,0.0674
9.24,0.0368,0.0626
9.28,0.0399,0.0616
9.32,0.0441,0.0751
9.36,0.0539,0.0932
9.4,0.0556,0.0931
9.44,0.0686,0.0867
9.48,0.0855,0.0909
9.52,0.1092,0.1074
9.56,0.1411,0.1367
9.6,0.1662,0.1669
9.64,0.1972,0.1854
9.68,0.2266,0.1996
9.72,0.2704,0.2248
9.76,0.323,0.2483
9.8,0.3478,0.262
9.84,0.3765,0.2751
9.88,0.4075,0.3011
9.92,0.442,0.3255
9.96,0.4717,0.3488
10.0,0.5045,0.3823
10.04,0.5207,0.4254
10.08,0.5604,0.4762
10.12,0.5809,0.491
10.16,0.6173,0.5434
10.2,0.6487,0.5559
10.24,0.6782,0.5636
10.28,0.7161,0.5838
10.32,0.7374,0.6135
10.36,0.7739,0.6461
10.4,0.8073,0.6715
10.44,0.8318,0.6954
10.48,0.8659,0.7158
10.52,0.8934,0.7502
10.56,0.9193,0.7765
10.6,0.9279,0.8269
10.64,0.9376,0.8492
10.68,0.9406,0.8737
10.72,0.9529,0.8977
10.76,0.963,0.9301
10.8,0.9665,0.9426
10.84,0.9858,0.9631
10.88,0.9962,0.9706
10.92,0.9986,0.9797
10.96,0.9971,0.9812
11.0,0.9906,0.9763
11.04,0.99,0.977
11.08,0.9835,0.9726
11.12,0.9792,0.9712
11.16,0.977,0.9688
11.2,0.9734,0.9667
11.24,0.9683,0.9681
11.28,0.9616,0.9628
11.32,0.9619,0.9627
11.36,0.9587,0.9557
11.4,0.955,0.9472
11.44,0.9505,0.9408
11.48,0.9504,0.933
11.52,0.9504,0.9301
11.56,0.9361,0.918
11.6,0.9342,0.9
11.64,0.9319,0.8833
11.68,0.9307,0.8694
11.72,0.9315,0.8617
11.76,0.9275,0.8554
11.8,0.9174,0.8471
11.84,0.9104,0.8403
11.88,0.8963,0.8286
11.92,0.8885,0.8179
11.96,0.8822,0.8068
12.0,0.8626,0.7842
12.04,0.8272,0.7682
12.08,0.7947,0.7474
12.12,0.7658,0.7212
12.16,0.7376,0.7083
12.2,0.6947,0.6629
12.24,0.6541,0.6339
12.28,0.6096,0.6151
12.32,0.5836,0.5884
12.36,0.562,0.5496
12.4,0.5199,0.5152
12.44,0.477,0.4683
12.48,0.4263,0.4235
12.52,0.3862,0.3789
12.56,0.3461,0.341
12.6,0.3155,0.301
12.64,0.2723,0.2438
12.68,0.2442,0.2234
12.72,0.215,0.1988
12.76,0.1818,0.1845
12.8,0.1499,0.1668
12.84,0.141,0.1625
12.88,0.1252,0.1517
12.92,0.1033,0.1272
12.96,0.0818,0.1008
13.0,0.0719,0.0964
13.04,0.0637,0.0918
13.08,0.0535,0.0789
13.12,0.0436,0.0635
13.16,0.0362,0.049
13.2,0.0337,0.0333
13.24,0.03,0.0281
13.28,0.0309,0.0111
13.32,0.0334,0.0148
13.36,0.0363,0.0224
13.4,0.035,0.015
13.44,0.0401,0.0249
13.48,0.0418,0.0255
