Time(s),Shoulder,Waist
0.04,0.976,0.9909
0.08,0.9704,0.9978
0.12,0.9728,1.0
0.17,0.9729,0.9998
0.21,0.9665,0.9987
0.25,0.964,0.995
0.29,0.9617,0.9947
0.33,0.9597,0.9882
0.38,0.9583,0.9828
0.42,0.9578,0.98
0.46,0.9569,0.9738
0.5,0.9526,0.9675
0.54,0.9458,0.9544
0.58,0.9337,0.9202
0.62,0.9198,0.8934
0.67,0.8985,0.864
0.71,0.8773,0.8379
0.75,0.8573,0.8043
0.79,0.8382,0.7807
0.83,0.8092,0.7395
0.88,0.7777,0.7111
0.92,0.7401,0.6726
0.96,0.705,0.6343
1.0,0.662,0.5837
1.04,0.6079,0.5284
1.08,0.5646,0.5033
1.12,0.5106,0.4622
1.17,0.4646,0.4451
1.21,0.4163,0.4247
1.25,0.3654,0.4048
1.29,0.3297,0.3652
1.33,0.2978,0.3441
1.38,0.26,0.3152
1.42,0.2208,0.2752
1.46,0.1862,0.25
1.5,0.1466,0.2325
1.54,0.1172,0.2011
1.58,0.1011,0.18
1.62,0.0789,0.1453
1.67,0.0355,0.0905
1.71,0.0151,0.0741
1.75,0.0,0.056
1.79,0.0039,0.0556
1.83,0.0129,0.0577
1.88,0.0193,0.0652
1.92,0.0533,0.0838
1.96,0.1053,0.1081
2.0,0.1532,0.1484
2.04,0.1833,0.1844
2.08,0.2222,0.2307
2.12,0.2605,0.2606
2.17,0.3011,0.3112
2.21,0.3453,0.3621
2.25,0.3952,0.4146
2.29,0.4309,0.4577
2.33,0.4804,0.508
2.38,0.5233,0.5484
2.42,0.577,0.5847
2.46,0.6425,0.6196
2.5,0.6969,0.6521
2.54,0.7658,0.7151
2.58,0.8151,0.7641
2.62,0.8576,0.8019
2.67,0.8951,0.8289
2.71,0.9146,0.8637
2.75,0.9446,0.8884
2.79,0.9528,0.89
2.83,0.9686,0.8961
2.88,0.9691,0.8963
2.92,0.9677,0.8882
2.96,0.9675,0.8842
3.0,0.9577,0.8786
3.04,0.9528,0.8675
3.08,0.9337,0.8384
3.12,0.9034,0.7935
3.17,0.8596,0.737
3.21,0.813,0.7096
3.25,0.763,0.6373
3.29,0.6871,0.5651
3.33,0.5962,0.4998
3.38,0.5313,0.4495
3.42,0.4682,0.3951
3.46,0.4048,0.3695
3.5,0.3383,0.3312
3.54,0.2898,0.2967
3.58,0.2432,0.2572
3.62,0.1895,0.2134
3.67,0.1492,0.1917
3.71,0.1097,0.1599
3.75,0.0919,0.1332
3.79,0.0571,0.0927
3.83,0.0392,0.0597
3.88,0.029,0.0451
3.92,0.0284,0.0399
3.96,0.0368,0.0506
4.0,0.0557,0.068
4.04,0.0668,0.0725
4.08,0.1054,0.0934
4.12,0.1552,0.1369
4.17,0.1908,0.1766
4.21,0.2344,0.2127
4.25,0.2815,0.2657
4.29,0.3233,0.3185
4.33,0.3724,0.3727
4.38,0.4222,0.4257
4.42,0.4732,0.4728
4.46,0.5231,0.5193
4.5,0.5849,0.5621
4.54,0.6462,0.5934
4.58,0.7124,0.6436
4.62,0.7686,0.687
4.67,0.8143,0.734
4.71,0.8498,0.7715
4.75,0.8791,0.8077
4.79,0.9113,0.8368
4.83,0.9315,0.8635
4.88,0.9474,0.8747
4.92,0.9636,0.8809
4.96,0.9806,0.8817
5.0,0.9812,0.8815
5.04,0.9767,0.8843
5.08,0.9698,0.882
5.12,0.9671,0.8599
5.17,0.9657,0.8128
5.21,0.9396,0.7827
5.25,0.9078,0.7545
5.29,0.8708,0.7093
5.33,0.8337,0.6656
5.38,0.7788,0.6015
5.42,0.7066,0.5382
5.46,0.629,0.4825
5.5,0.5584,0.4405
5.54,0.5047,0.3998
5.58,0.43,0.3427
5.62,0.3679,0.3089
5.67,0.307,0.276
5.71,0.2471,0.2315
5.75,0.1848,0.1872
5.79,0.1439,0.1639
5.83,0.1098,0.1338
5.88,0.0572,0.0904
5.92,0.0362,0.0601
5.96,0.0063,0.0255
6.0,0.0074,0.0
6.04,0.0162,0.006
6.08,0.0239,0.0109
6.12,0.0323,0.0198
6.17,0.0573,0.038
6.21,0.1215,0.0602
6.25,0.1638,0.1015
6.29,0.2023,0.1431
6.33,0.2494,0.1821
6.38,0.2908,0.2241
6.42,0.3355,0.2643
6.46,0.4011,0.3239
6.5,0.4526,0.3709
6.54,0.5013,0.4067
6.58,0.5567,0.4375
6.62,0.6191,0.4739
6.67,0.6868,0.5238
6.71,0.746,0.588
6.75,0.7996,0.6448
6.79,0.842,0.6995
6.83,0.8794,0.7332
6.88,0.9064,0.7694
6.92,0.9357,0.7963
6.96,0.9564,0.8264
7.0,0.9751,0.8516
7.04,0.987,0.8593
7.08,0.9963,0.8752
7.12,0.997,0.8724
7.17,0.9936,0.8636
7.21,0.982,0.8583
7.25,0.976,0.852
7.29,0.9742,0.8456
7.33,0.9522,0.7956
7.38,0.9279,0.7673
7.42,0.8937,0.7322
7.46,0.8596,0.684
7.5,0.8189,0.625
7.54,0.7777,0.5672
7.58,0.7161,0.4946
7.62,0.6439,0.44
7.67,0.5766,0.3955
7.71,0.5339,0.3583
7.75,0.4696,0.3339
7.79,0.4146,0.292
7.83,0.3607,0.269
7.88,0.3093,0.236
7.92,0.269,0.2151
7.96,0.2331,0.1748
8.0,0.1869,0.1494
8.04,0.1468,0.1305
8.08,0.1327,0.1055
8.12,0.0999,0.0804
8.17,0.0728,0.0578
8.21,0.05,0.0282
8.25,0.04,0.014
8.29,0.0418,0.0172
8.33,0.0501,0.0234
8.38,0.0565,0.0261
8.42,0.0779,0.0413
8.46,0.1122,0.0609
8.5,0.1507,0.0977
8.54,0.196,0.1424
8.58,0.24,0.1841
8.62,0.2839,0.224
8.67,0.3229,0.2554
8.71,0.3693,0.2951
8.75,0.417,0.34
8.79,0.4677,0.3862
8.83,0.508,0.428
8.88,0.5576,0.4538
8.92,0.6225,0.4884
8.96,0.6702,0.5442
9.0,0.7206,0.5862
9.04,0.7695,0.64
9.08,0.8071,0.6852
9.12,0.8549,0.7309
9.17,0.8869,0.7567
9.21,0.9177,0.7919
9.25,0.9448,0.8282
9.29,0.9699,0.8588
9.33,0.9817,0.8765
9.38,0.9915,0.8783
9.42,0.9934,0.8871
9.46,1.0,0.8973
9.5,0.9922,0.889
9.54,0.9854,0.8857
9.58,0.9835,0.8755
9.62,0.9474,0.8478
9.67,0.9271,0.8082
9.71,0.8959,0.7671
9.75,0.8608,0.724
9.79,0.8282,0.6881
9.83,0.7862,0.6434
9.88,0.7403,0.5842
9.92,0.6749,0.5284
9.96,0.5972,0.4686
10.0,0.5436,0.4319
10.04,0.4763,0.3998
10.08,0.4234,0.3748
10.12,0.3606,0.3556
10.17,0.3097,0.3375
10.21,0.2641,0.3012
10.25,0.2344,0.2722
10.29,0.1964,0.2326
10.33,0.1666,0.2124
10.38,0.1362,0.1944
10.42,0.1029,0.1795
10.46,0.1015,0.1612
10.5,0.0833,0.1399
10.54,0.0658,0.1215
10.58,0.0507,0.1
10.62,0.0515,0.099
10.67,0.0569,0.0931
10.71,0.0645,0.1019
10.75,0.0836,0.1062
10.79,0.123,0.1182
10.83,0.1596,0.1404
10.88,0.2041,0.172
10.92,0.2381,0.1996
10.96,0.276,0.2456
11.0,0.3056,0.2904
11.04,0.3506,0.3424
11.08,0.3979,0.3842
11.12,0.4481,0.4306
11.17,0.4919,0.4765
11.21,0.529,0.5131
11.25,0.5763,0.554
11.29,0.6411,0.5972
11.33,0.6903,0.6491
11.38,0.7468,0.6833
