Time(s),Shoulder,Waist
11.42,0.7958,0.7381
11.46,0.8387,0.7774
11.5,0.8668,0.8121
11.54,0.8988,0.846
11.58,0.9305,0.8718
11.62,0.9554,0.8877
11.67,0.9711,0.8941
11.71,0.9763,0.9054
11.75,0.9871,0.903
11.79,0.993,0.8994
11.83,0.9844,0.8918
11.88,0.9729,0.8854
11.92,0.9698,0.8832
11.96,0.9594,0.8693
12.0,0.9312,0.8439
12.04,0.9064,0.7987
12.08,0.8679,0.7621
12.12,0.8297,0.7172
12.17,0.7894,0.6691
12.21,0.7417,0.6068
12.25,0.6831,0.5353
12.29,0.6222,0.4885
12.33,0.5637,0.4397
12.38,0.5074,0.3997
12.42,0.4427,0.3574
12.46,0.385,0.329
12.5,0.3198,0.2914
12.54,0.2876,0.2635
12.58,0.2552,0.2375
12.62,0.2004,0.2045
12.67,0.1596,0.1774
12.71,0.13,0.1574
12.75,0.0889,0.1233
12.79,0.0685,0.0955
12.83,0.0455,0.0609
12.88,0.0364,0.0454
12.92,0.0344,0.0365
12.96,0.0364,0.0377
13.0,0.0473,0.0496
13.04,0.058,0.061
13.08,0.0965,0.0944
13.12,0.1445,0.121
13.17,0.1753,0.1686
13.21,0.2255,0.211
13.25,0.2726,0.2374
13.29,0.3118,0.2804
13.33,0.3673,0.3285
13.38,0.4189,0.3739
13.42,0.4677,0.4212
13.46,0.5082,0.4505
13.5,0.5653,0.4745
13.54,0.6271,0.5152
13.58,0.6809,0.5675
13.62,0.7296,0.6247
13.67,0.7829,0.6814
13.71,0.8235,0.7288
13.75,0.8709,0.7686
13.79,0.901,0.8087
13.83,0.9322,0.8415
13.88,0.9444,0.8689
13.92,0.9647,0.8804
13.96,0.9757,0.8893
14.0,0.9831,0.8996
14.04,0.9746,0.9072
14.08,0.9657,0.9071
14.12,0.9618,0.9014
14.17,0.9462,0.8895
14.21,0.932,0.8637
14.25,0.8994,0.8205
14.29,0.8725,0.789
14.33,0.844,0.7487
14.38,0.8125,0.7066
14.42,0.7694,0.6359
14.46,0.7148,0.5711
14.5,0.6324,0.492
14.54,0.5726,0.4403
14.58,0.5267,0.3917
14.62,0.4602,0.3512
14.67,0.4013,0.3274
14.71,0.3424,0.2835
14.75,0.286,0.2453
14.79,0.2363,0.2138
14.83,0.1761,0.1818
14.88,0.153,0.1506
14.92,0.1154,0.13
14.96,0.0995,0.1001
15.0,0.0622,0.0735
15.04,0.0503,0.0544
15.08,0.048,0.0354
15.12,0.0505,0.0285
15.17,0.0592,0.03
15.21,0.0718,0.0432
15.25,0.0882,0.054
15.29,0.1138,0.0688
15.33,0.1424,0.1057
15.38,0.1892,0.1384
15.42,0.2284,0.1843
15.46,0.2733,0.2152
15.5,0.3222,0.249
15.54,0.3668,0.2859
15.58,0.4215,0.3378
15.62,0.4717,0.3741
15.67,0.5078,0.3919
15.71,0.5538,0.4393
15.75,0.6098,0.4884
15.79,0.6499,0.515
15.83,0.7093,0.5634
15.88,0.7535,0.6084
15.92,0.7987,0.6567
15.96,0.8386,0.6968
16.0,0.8738,0.7394
16.04,0.9031,0.779
16.08,0.9278,0.8088
16.12,0.9554,0.8291
16.17,0.9644,0.8495
16.21,0.9745,0.8518
16.25,0.9752,0.8511
16.29,0.9746,0.8467
16.33,0.9691,0.8503
16.38,0.9635,0.8439
16.42,0.9568,0.8331
16.46,0.9282,0.7971
16.5,0.8984,0.7667
16.54,0.8553,0.7201
16.58,0.8223,0.6694
16.62,0.7805,0.626
16.67,0.7349,0.564
16.71,0.6706,0.5092
16.75,0.6142,0.4315
16.79,0.5477,0.4112
16.83,0.4929,0.3577
16.88,0.4403,0.3309
16.92,0.3811,0.294
16.96,0.3286,0.2592
17.0,0.2861,0.219
17.04,0.2293,0.1886
17.08,0.1784,0.1592
17.12,0.1427,0.1322
17.17,0.1329,0.1095
17.21,0.1036,0.0779
17.25,0.0965,0.0568
17.29,0.0684,0.04
17.33,0.0701,0.0389
17.38,0.0744,0.0476
17.42,0.0915,0.059
17.46,0.0974,0.0613
17.5,0.1194,0.0737
17.54,0.141,0.099
17.58,0.188,0.1346
17.62,0.2354,0.1869
17.67,0.2789,0.2182
17.71,0.3219,0.2596
17.75,0.3694,0.2931
17.79,0.4164,0.3363
17.83,0.4629,0.3877
17.88,0.5123,0.4187
17.92,0.5661,0.4622
17.96,0.6168,0.5005
18.0,0.6693,0.5328
18.04,0.7131,0.5613
18.08,0.7649,0.6173
18.12,0.8146,0.6744
18.17,0.8505,0.7111
18.21,0.8812,0.7467
18.25,0.905,0.7731
18.29,0.9359,0.8003
18.33,0.953,0.8204
18.38,0.9715,0.8438
18.42,0.9802,0.852
18.46,0.9925,0.8612
18.5,0.9831,0.8628
18.54,0.9735,0.8587
