Time(s),Left(deg),Right(deg)
0.03,163.64,159.61
0.07,161.21,159.31
0.1,159.68,158.97
0.13,157.49,159.73
0.17,155.89,155.72
0.2,154.3,150.78
0.23,149.82,143.14
0.27,147.23,140.33
0.3,139.16,132.89
0.33,130.74,125.44
0.37,122.13,113.05
0.4,104.69,100.79
0.43,90.89,95.26
0.47,90.13,92.89
0.5,82.33,88.69
0.53,83.74,85.2
0.57,84.47,83.84
0.6,76.96,73.5
0.63,71.0,64.01
0.67,67.19,66.46
0.7,64.57,61.5
0.73,52.57,58.66
0.77,46.44,59.01
0.8,47.34,54.22
0.83,35.15,55.72
0.87,41.2,56.4
0.9,41.62,56.68
0.93,48.84,57.7
0.97,49.94,55.34
1.0,44.13,57.16
1.03,59.12,58.48
1.07,42.66,61.11
1.1,51.5,60.6
1.13,49.51,62.04
1.17,45.34,61.98
1.2,42.47,64.26
1.23,43.93,64.66
1.27,43.1,67.02
1.3,58.6,73.51
1.33,80.49,87.58
1.37,92.75,94.87
1.4,87.19,100.68
1.43,87.87,101.4
1.47,90.83,102.71
1.5,92.28,104.92
1.53,104.23,111.27
1.57,119.41,119.07
1.6,140.14,128.17
1.63,144.0,133.5
1.67,153.62,139.45
1.7,160.39,149.36
1.73,161.67,158.86
1.77,160.55,160.73
1.8,156.42,159.15
1.83,155.56,157.65
1.87,154.2,151.81
1.9,147.14,147.51
1.93,132.56,136.65
1.97,113.61,123.17
2.0,97.86,111.76
2.03,92.34,107.22
2.07,92.29,99.0
2.1,91.47,95.76
2.13,85.21,89.62
2.17,64.58,80.72
2.2,58.46,65.57
2.23,51.87,65.19
2.27,52.31,59.43
2.3,43.53,53.99
2.33,48.96,51.18
2.37,102.83,49.62
2.4,90.95,47.98
2.43,68.37,47.17
2.47,67.65,49.55
2.5,88.73,50.04
2.53,53.88,52.18
2.57,36.17,54.32
2.6,36.34,56.34
2.63,36.8,59.24
2.67,39.09,65.23
2.7,53.56,75.92
2.73,66.6,86.62
2.77,88.87,95.81
2.8,96.84,101.65
2.83,98.38,104.92
2.87,96.9,106.64
2.9,95.99,109.17
2.93,94.12,104.81
2.97,99.72,107.8
3.0,114.29,120.49
3.03,114.03,123.81
3.07,121.5,128.24
3.1,135.62,134.08
3.13,151.06,138.73
3.17,162.6,146.8
3.2,164.07,156.89
3.23,167.99,159.53
3.27,166.71,159.92
3.3,164.4,159.54
3.33,161.72,153.72
3.37,149.64,143.73
3.4,132.82,132.88
3.43,116.84,116.46
3.47,102.32,109.23
3.5,92.39,97.28
3.53,89.08,92.69
3.57,75.52,88.81
3.6,74.82,79.55
3.63,72.25,80.57
3.67,61.9,84.16
3.7,46.79,69.64
3.73,58.8,54.16
3.77,76.38,52.1
3.8,87.2,51.69
3.83,84.97,50.08
3.87,43.79,49.03
3.9,64.23,47.41
3.93,109.03,51.63
3.97,133.25,52.91
4.0,79.34,52.91
4.03,77.03,49.56
4.07,39.34,51.41
4.1,51.92,53.44
4.13,59.42,62.76
4.17,73.78,74.51
4.2,82.48,84.33
4.23,80.56,85.6
4.27,95.71,94.35
4.3,99.91,101.46
4.33,107.94,107.46
4.37,103.2,108.09
4.4,105.14,110.28
4.43,103.64,110.65
4.47,103.81,111.09
4.5,113.64,119.99
4.53,135.37,131.21
4.57,143.31,139.09
4.6,150.75,148.42
4.63,150.84,149.52
4.67,155.02,153.12
4.7,164.59,158.87
4.73,166.78,158.46
4.77,162.73,156.87
4.8,160.07,154.62
4.83,158.09,151.84
4.87,154.25,145.76
4.9,137.87,140.27
4.93,126.5,132.53
4.97,114.17,116.48
5.0,102.99,102.94
5.03,98.18,98.29
5.07,91.37,95.17
5.1,88.04,86.8
5.13,67.4,84.13
5.17,57.54,73.23
5.2,49.24,63.44
5.23,44.79,60.88
5.27,46.62,54.95
5.3,66.67,51.55
5.33,85.01,52.69
5.37,96.57,52.89
5.4,59.31,54.79
5.43,62.54,53.01
5.47,50.53,54.55
5.5,48.83,56.08
5.53,55.73,60.2
5.57,57.16,61.63
5.6,69.96,73.55
5.63,68.97,76.07
5.67,81.13,85.37
5.7,97.78,95.09
5.73,104.16,100.35
5.77,100.81,105.59
5.8,99.37,108.3
5.83,97.7,109.25
5.87,98.29,111.73
5.9,102.93,115.29
5.93,109.5,123.72
5.97,117.94,133.36
6.0,121.61,136.04
6.03,130.51,139.94
6.07,145.04,146.02
6.1,152.83,151.85
6.13,163.54,159.07
6.17,166.77,161.09
6.2,168.61,161.96
6.23,166.29,159.32
6.27,159.55,151.9
6.3,138.93,147.16
6.33,125.84,138.1
6.37,114.15,125.72
6.4,109.44,120.23
6.43,96.75,105.92
6.47,90.99,94.38
6.5,88.2,91.07
6.53,81.04,82.08
6.57,70.62,78.18
6.6,68.22,73.19
6.63,55.48,64.72
6.67,48.67,55.94
6.7,50.49,54.72
6.73,97.97,51.89
6.77,72.16,52.25
6.8,126.34,57.62
6.83,110.19,55.76
6.87,100.31,56.21
6.9,107.49,57.1
6.93,40.25,56.4
6.97,51.33,60.5
7.0,62.04,63.1
7.03,79.4,70.16
7.07,80.38,75.21
7.1,82.86,86.14
7.13,108.73,94.21
7.17,103.01,97.5
7.2,117.22,98.41
7.23,106.76,103.93
7.27,102.66,104.95
7.3,92.85,109.64
7.33,88.39,115.25
7.37,100.01,125.55
7.4,108.75,128.32
7.43,117.66,133.01
7.47,131.16,144.03
7.5,141.76,152.27
7.53,152.03,154.81
7.57,162.62,156.7
7.6,165.01,157.64
7.63,168.54,157.84
7.67,171.44,159.84
7.7,171.72,161.68
7.73,172.72,162.46
7.77,172.49,163.21
7.8,172.86,164.45
7.83,176.93,165.88
7.87,177.89,167.79
7.9,177.93,169.68
7.93,168.05,170.2
7.97,164.78,170.04
8.0,164.71,170.2
8.03,155.62,169.42
8.07,149.49,168.47
8.1,148.85,167.02
8.13,148.93,166.35
8.17,153.22,166.24
8.2,154.17,166.35
8.23,155.46,164.43
8.27,160.17,163.51
8.3,166.27,163.15
8.33,170.44,161.24
8.37,166.33,157.42
8.4,165.47,155.69
8.43,160.46,152.42
8.47,152.81,146.56
8.5,142.95,138.78
8.53,127.21,133.0
8.57,117.28,126.19
8.6,108.15,122.59
8.63,89.49,113.86
8.67,83.33,102.06
8.7,79.07,97.48
8.73,81.57,89.22
8.77,81.41,81.96
8.8,81.48,83.56
8.83,75.95,79.88
8.87,67.09,74.56
8.9,64.76,69.97
8.93,58.67,62.98
8.97,54.7,60.84
9.0,53.32,61.79
9.03,55.17,64.01
9.07,54.57,67.29
9.1,54.79,70.53
9.13,54.42,71.13
9.17,66.14,77.76
9.2,69.31,82.58
9.23,71.4,88.58
9.27,79.28,93.89
9.3,86.37,97.7
9.33,87.35,101.36
9.37,88.59,103.67
9.4,90.72,104.78
9.43,89.98,107.06
9.47,97.36,112.51
9.5,102.78,119.22
9.53,116.06,128.96
9.57,125.65,136.69
9.6,131.73,139.77
9.63,140.77,143.12
9.67,151.99,151.95
9.7,162.29,157.19
9.73,164.67,160.04
9.77,162.77,159.93
9.8,161.69,160.21
9.83,159.79,157.82
9.87,156.95,146.8
9.9,148.76,141.68
9.93,137.38,140.26
9.97,132.38,138.88
10.0,121.52,134.93
10.03,111.44,126.25
10.07,103.12,117.36
10.1,100.3,108.54
10.13,100.91,106.24
10.17,100.48,104.15
10.2,93.33,99.26
