Time(s),Left(deg),Right(deg)
10.23,86.58,91.89
10.27,85.72,87.86
10.3,84.15,91.61
10.33,66.56,83.13
10.37,64.38,80.72
10.4,68.39,88.45
10.43,63.67,86.25
10.47,62.81,85.07
10.5,63.38,85.55
10.53,70.81,87.57
10.57,72.69,90.29
10.6,77.54,92.42
10.63,82.3,97.95
10.67,84.26,103.53
10.7,84.36,105.52
10.73,87.82,109.94
10.77,87.7,109.76
10.8,91.28,116.54
10.83,105.15,124.09
10.87,119.89,131.58
10.9,133.8,136.86
10.93,144.0,144.63
10.97,144.86,145.89
11.0,151.01,148.29
11.03,158.38,152.58
11.07,165.23,157.37
11.1,164.65,159.92
11.13,163.83,160.11
11.17,164.13,160.04
11.2,162.55,157.89
11.23,159.19,150.09
11.27,154.58,143.59
11.3,140.14,140.51
11.33,121.31,133.95
11.37,117.66,131.24
11.4,113.31,124.16
11.43,104.43,115.3
11.47,103.68,109.15
11.5,101.17,102.76
11.53,96.5,96.39
11.57,93.54,97.94
11.6,88.33,91.01
11.63,84.12,90.27
11.67,79.59,92.96
11.7,69.65,88.54
11.73,62.67,76.13
11.77,58.39,70.6
11.8,55.19,65.81
11.83,53.07,66.21
11.87,45.99,68.24
11.9,43.61,77.66
11.93,44.67,78.81
11.97,45.9,80.2
12.0,48.5,80.34
12.03,62.95,88.81
12.07,61.29,96.39
12.1,69.01,99.34
12.13,79.33,104.92
12.17,102.19,111.61
12.2,99.57,115.04
12.23,98.19,116.81
12.27,103.9,118.12
12.3,102.49,120.7
12.33,108.2,129.13
12.37,117.75,134.73
12.4,124.42,138.7
12.43,131.4,142.74
12.47,140.14,143.57
12.5,143.36,146.81
12.53,149.86,149.71
12.57,161.25,151.98
12.6,163.16,153.59
12.63,161.78,153.74
12.67,161.62,151.5
12.7,161.9,149.96
12.73,160.18,146.63
12.77,152.51,139.63
12.8,141.28,136.15
12.83,123.32,131.63
12.87,116.4,123.51
12.9,103.74,115.47
12.93,102.6,114.19
12.97,92.63,105.95
13.0,91.31,102.71
13.03,93.57,98.26
13.07,90.71,100.18
13.1,85.89,96.06
13.13,82.52,94.66
13.17,73.04,84.24
13.2,62.26,80.27
13.23,57.7,81.03
13.27,58.62,75.56
13.3,39.74,81.91
13.33,38.66,81.09
13.37,40.38,82.71
13.4,45.22,92.47
13.43,52.4,91.17
13.47,55.55,91.23
13.5,58.54,92.48
13.53,68.04,95.58
13.57,81.37,102.59
13.6,89.09,107.55
13.63,93.51,112.41
13.67,95.5,119.28
13.7,94.53,121.69
13.73,97.39,126.03
13.77,105.79,129.49
13.8,113.4,134.64
13.83,116.38,136.55
13.87,124.38,143.14
13.9,137.69,148.86
13.93,138.38,150.37
13.97,142.27,153.25
14.0,153.75,155.74
14.03,160.81,157.22
14.07,162.19,156.96
14.1,163.87,157.74
14.13,161.64,157.2
14.17,159.16,148.63
14.2,155.58,144.42
14.23,145.81,142.2
14.27,141.97,139.5
14.3,130.19,137.07
14.33,120.36,132.55
14.37,106.56,123.69
14.4,98.73,115.48
14.43,95.15,105.25
14.47,94.17,99.22
14.5,89.12,97.06
14.53,89.24,105.24
14.57,75.71,101.64
14.6,75.0,99.0
14.63,76.76,102.19
14.67,77.41,95.05
14.7,73.08,85.48
14.73,71.04,83.15
14.77,70.14,78.48
14.8,67.72,77.97
14.83,69.48,79.01
14.87,71.7,81.02
14.9,92.32,82.45
14.93,92.22,91.85
14.97,92.97,97.96
15.0,88.84,101.97
15.03,88.62,101.99
15.07,86.8,105.62
15.1,88.29,110.94
15.13,91.22,112.99
15.17,96.4,118.08
15.2,108.17,124.83
15.23,112.56,128.54
15.27,116.15,129.94
15.3,127.67,133.18
15.33,142.9,137.81
15.37,145.5,141.98
15.4,153.44,145.15
15.43,160.04,147.12
15.47,166.82,149.12
15.5,174.4,152.82
15.53,179.79,157.52
15.57,178.62,160.02
15.6,177.86,161.99
15.63,177.17,162.09
15.67,177.75,163.07
15.7,176.58,165.11
15.73,175.02,165.49
15.77,174.88,165.71
15.8,173.9,166.09
15.83,173.67,166.2
15.87,173.43,166.83
15.9,173.6,167.08
15.93,174.72,167.19
15.97,174.51,167.49
16.0,175.28,168.34
16.03,176.37,168.42
16.07,176.53,168.13
16.1,177.29,168.39
16.13,177.74,169.24
16.17,178.48,169.33
16.2,178.8,168.91
16.23,178.68,168.78
16.27,178.59,168.9
16.3,178.62,169.13
16.33,179.36,169.08
16.37,179.43,168.96
16.4,179.88,167.77
16.43,179.74,167.97
16.47,179.16,167.88
16.5,178.52,167.92
16.53,177.53,168.31
16.57,176.49,168.16
16.6,176.46,167.13
16.63,176.82,166.8
16.67,177.29,165.64
16.7,175.22,164.19
16.73,174.23,164.19
16.77,174.01,163.59
16.8,174.05,161.39
16.83,173.44,160.55
16.87,173.18,160.12
16.9,173.49,159.95
16.93,172.94,160.04
16.97,172.62,160.19
17.0,172.33,160.87
17.03,172.44,161.12
17.07,172.96,161.56
17.1,174.12,161.91
17.13,174.44,162.17
17.17,175.09,161.03
17.2,175.55,160.58
17.23,174.71,160.39
17.27,175.04,161.25
17.3,175.73,163.7
17.33,176.48,164.31
17.37,176.47,165.72
17.4,176.72,166.96
17.43,175.44,166.14
17.47,175.41,165.91
17.5,175.14,164.97
17.53,173.97,164.42
17.57,170.46,163.16
17.6,167.86,160.6
17.63,164.99,158.0
17.67,154.22,154.83
17.7,149.26,149.73
17.73,140.98,143.51
17.77,127.25,133.73
17.8,118.36,129.48
17.83,106.93,124.62
17.87,94.11,112.06
17.9,87.84,105.48
17.93,84.29,101.33
17.97,83.43,96.62
18.0,85.91,94.07
18.03,77.09,89.02
18.07,78.58,77.62
18.1,63.28,74.88
18.13,60.38,63.47
18.17,57.46,58.14
18.2,54.84,56.98
18.23,47.01,56.13
18.27,49.16,53.19
18.3,53.59,53.64
18.33,51.83,53.78
18.37,44.15,55.64
18.4,45.24,55.6
18.43,38.58,56.35
18.47,29.56,59.01
18.5,36.17,63.33
18.53,53.01,74.69
18.57,68.13,83.84
18.6,75.37,87.09
18.63,102.66,93.06
18.67,99.09,96.26
18.7,95.1,100.65
18.73,94.0,100.76
18.77,92.14,100.1
18.8,91.85,98.71
18.83,90.49,101.52
18.87,91.88,102.83
18.9,95.44,106.21
18.93,103.81,112.38
18.97,107.09,116.11
19.0,114.96,119.64
19.03,127.07,125.93
19.07,138.85,133.14
19.1,149.02,138.13
19.13,158.95,143.88
19.17,160.38,146.42
19.2,166.07,148.7
19.23,170.18,152.55
19.27,171.13,154.28
19.3,170.85,157.57
19.33,171.42,157.79
19.37,171.82,158.52
19.4,170.98,158.89
19.43,170.8,158.67
19.47,170.25,158.54
19.5,170.45,158.41
19.53,170.33,159.57
19.57,170.26,159.56
19.6,170.36,159.72
19.63,169.52,159.75
19.67,170.52,160.82
19.7,171.72,161.49
19.73,171.56,161.09
19.77,171.44,161.0
19.8,171.52,161.8
19.83,171.22,161.69
19.87,170.82,161.67
19.9,170.24,161.39
19.93,169.71,162.45
19.97,169.42,162.83
20.0,169.39,162.94
20.03,168.5,163.9
20.07,167.8,165.05
20.1,167.78,165.41
20.13,167.77,165.47
20.17,167.54,166.18
20.2,167.5,165.06
20.23,168.02,165.12
20.27,167.84,163.64
20.3,166.74,159.41
20.33,164.93,153.38
20.37,162.2,151.7
20.4,149.83,144.65
20.43,139.59,139.5
20.47,126.16,129.64
20.5,116.82,120.02
20.53,104.83,108.14
20.57,101.2,103.44
20.6,89.79,96.4
20.63,80.59,93.09
20.67,71.05,89.79
20.7,61.37,79.66
20.73,45.85,72.89
20.77,48.66,61.37
20.8,45.25,60.02
20.83,40.92,55.1
20.87,55.22,50.18
20.9,76.45,49.3
20.93,72.74,51.19
20.97,62.12,49.14
21.0,93.68,51.76
21.03,38.51,50.76
21.07,38.6,52.43
21.1,31.14,54.82
21.13,37.82,56.85
21.17,43.58,59.25
21.2,50.42,68.78
21.23,65.8,81.65
21.27,79.88,86.72
21.3,77.49,87.91
21.33,73.16,89.15
21.37,80.49,90.72
21.4,87.54,94.64
21.43,93.32,97.89
21.47,93.89,100.92
21.5,95.96,101.15
21.53,95.12,101.73
21.57,96.34,105.44
21.6,95.89,104.83
21.63,97.29,108.91
21.67,101.28,115.4
21.7,110.67,122.8
21.73,119.5,125.9
21.77,120.95,129.63
21.8,127.84,134.76
21.83,137.76,138.9
21.87,146.36,142.36
21.9,152.83,144.43
21.93,154.65,145.58
21.97,161.09,147.25
22.0,170.75,147.91
22.03,173.81,150.29
22.07,177.34,152.57
22.1,177.64,153.6
22.13,177.1,153.82
22.17,177.58,154.79
22.2,176.94,154.84
22.23,176.44,154.68
22.27,176.79,154.69
22.3,176.79,155.1
22.33,176.51,155.55
22.37,176.25,156.73
22.4,176.0,158.14
22.43,175.1,158.3
22.47,174.48,158.14
22.5,173.85,157.23
22.53,171.66,156.93
22.57,167.06,154.03
22.6,159.22,149.38
22.63,149.66,147.46
22.67,144.65,146.22
22.7,134.83,144.32
22.73,129.7,141.68
22.77,120.52,134.02
22.8,109.04,124.37
22.83,98.91,113.02
22.87,86.74,104.54
22.9,78.99,93.66
22.93,91.7,96.03
22.97,79.61,90.4
23.0,62.63,86.3
23.03,65.01,75.28
23.07,60.04,71.12
23.1,55.11,61.92
23.13,54.16,63.41
23.17,51.59,63.07
23.2,50.43,60.51
23.23,52.39,58.67
23.27,47.49,61.01
23.3,52.62,63.66
23.33,55.88,63.27
23.37,59.22,61.4
23.4,54.04,62.39
23.43,53.13,67.61
23.47,56.55,70.39
23.5,58.83,72.85
23.53,63.8,76.71
23.57,80.29,81.43
23.6,76.09,87.07
23.63,98.2,90.39
23.67,93.93,99.85
23.7,92.5,98.72
23.73,96.21,99.91
23.77,99.64,101.76
23.8,89.16,98.93
23.83,89.49,103.5
23.87,90.05,105.53
23.9,91.37,106.92
23.93,95.33,110.23
23.97,103.69,120.72
24.0,114.25,128.81
24.03,123.54,134.72
24.07,134.76,139.15
24.1,136.96,142.2
24.13,139.38,142.62
24.17,144.36,145.82
24.2,150.27,147.93
24.23,160.4,149.53
24.27,169.99,152.48
24.3,174.97,153.16
24.33,176.11,153.84
24.37,177.03,154.7
24.4,176.81,154.59
24.43,175.57,154.71
24.47,175.08,154.19
24.5,174.66,153.96
24.53,175.22,153.59
24.57,174.8,153.39
24.6,171.71,153.32
24.63,167.91,152.75
24.67,154.16,151.7
24.7,151.55,149.98
24.73,144.66,146.95
24.77,140.19,142.46
24.8,131.13,135.85
24.83,118.6,125.66
24.87,105.74,114.92
24.9,99.52,110.71
24.93,90.49,106.36
24.97,86.7,102.62
25.0,79.43,93.36
25.03,76.15,88.54
25.07,62.11,85.45
25.1,66.23,86.75
25.13,43.99,82.57
25.17,46.49,76.61
25.2,54.98,67.68
25.23,43.99,67.71
25.27,44.34,62.76
25.3,41.63,63.6
25.33,46.89,64.03
25.37,46.37,67.46
25.4,50.51,67.88
25.43,48.84,69.32
25.47,50.91,67.62
25.5,47.55,71.5
25.53,46.64,73.4
25.57,49.12,74.18
25.6,64.47,78.53
25.63,60.72,81.9
25.67,69.37,80.65
25.7,68.87,82.63
25.73,76.37,85.88
25.77,92.21,88.34
25.8,90.67,88.18
25.83,88.7,85.42
25.87,88.65,85.53
25.9,88.73,84.56
25.93,88.17,85.84
25.97,89.15,87.77
26.0,90.89,91.7
26.03,90.46,94.89
26.07,89.64,96.01
26.1,91.91,99.46
26.13,96.66,102.99
26.17,101.74,109.02
26.2,109.9,116.4
26.23,127.88,125.77
26.27,128.8,130.12
26.3,136.83,136.39
26.33,143.18,141.33
26.37,151.25,144.24
26.4,159.96,148.65
26.43,167.34,151.55
26.47,171.17,152.7
26.5,174.94,155.06
26.53,174.25,157.59
26.57,175.71,158.13
26.6,175.07,158.79
26.63,173.91,158.39
26.67,173.38,158.75
26.7,172.08,158.82
26.73,170.61,159.64
26.77,168.08,160.01
26.8,164.07,159.53
26.83,155.4,158.92
26.87,152.23,158.76
26.9,146.47,155.56
26.93,142.04,150.19
26.97,128.69,140.23
27.0,118.97,131.39
27.03,101.84,124.87
27.07,98.13,118.83
27.1,86.95,107.06
27.13,85.1,101.97
27.17,85.06,95.98
27.2,83.29,89.45
27.23,69.8,83.52
27.27,72.09,86.23
27.3,60.37,82.01
27.33,52.56,67.91
27.37,42.42,68.75
27.4,38.39,66.07
27.43,44.23,66.76
27.47,43.24,65.01
27.5,36.96,64.85
27.53,159.61,57.99
27.57,129.84,55.25
27.6,136.96,55.72
27.63,113.06,51.57
27.67,38.65,55.71
27.7,76.49,58.65
27.73,54.83,62.39
27.77,62.33,62.84
27.8,46.45,63.81
27.83,43.0,66.76
27.87,48.43,66.72
27.9,50.22,68.06
27.93,38.47,75.66
27.97,39.21,78.52
28.0,46.84,86.92
28.03,50.66,88.04
28.07,72.75,90.55
28.1,84.71,91.09
28.13,84.26,91.27
28.17,84.94,94.85
28.2,87.88,98.18
28.23,84.32,101.82
28.27,95.1,103.52
28.3,93.31,110.38
28.33,102.0,115.91
28.37,101.38,121.44
28.4,102.72,122.45
28.43,102.04,128.41
28.47,101.19,131.49
28.5,104.29,138.48
28.53,110.32,140.92
28.57,116.7,146.48
28.6,121.0,149.94
28.63,123.32,149.23
28.67,128.55,150.42
28.7,129.35,148.3
