Time(s),Left(deg),Right(deg)
9.88,159.05,163.22
9.92,156.64,162.63
9.96,154.9,161.47
10.0,152.88,159.69
10.04,150.37,157.05
10.08,147.77,153.7
10.12,145.4,150.41
10.16,143.65,148.47
10.2,140.16,145.08
10.24,137.52,138.68
10.28,132.74,135.34
10.32,128.07,131.63
10.36,122.76,125.8
10.4,117.78,121.88
10.44,114.51,117.04
10.48,112.6,110.37
10.52,106.34,106.94
10.56,102.71,103.26
10.6,94.27,98.84
10.64,88.79,92.01
10.68,83.85,85.8
10.72,80.88,79.48
10.76,77.2,75.2
10.8,73.9,74.43
10.84,72.45,72.65
10.88,71.89,67.97
10.92,72.49,67.04
10.96,70.89,62.69
11.0,71.22,62.5
11.04,71.56,62.57
11.08,70.76,62.04
11.12,71.39,61.75
11.16,71.51,60.75
11.2,71.67,60.65
11.24,72.4,62.56
11.28,72.53,62.3
11.32,73.38,62.67
11.36,75.67,65.8
11.4,78.5,69.56
11.44,82.34,70.64
11.48,85.57,73.36
11.52,88.32,78.2
11.56,94.19,89.78
11.6,97.54,94.02
11.64,105.0,99.03
11.68,108.85,103.68
11.72,113.48,108.05
11.76,117.47,115.42
11.8,124.21,119.78
11.84,127.98,124.75
11.88,129.62,129.63
11.92,131.62,136.51
11.96,135.47,138.38
12.0,140.86,142.64
12.04,141.91,145.28
12.08,144.51,149.34
12.12,148.28,150.13
12.16,151.53,153.35
12.2,152.79,156.99
12.24,155.31,161.56
12.28,157.44,163.29
12.32,159.43,163.93
12.36,161.61,164.73
12.4,162.89,165.88
12.44,167.02,167.46
12.48,170.04,169.22
12.52,171.32,170.37
12.56,172.73,171.38
12.6,173.76,171.31
12.64,174.05,171.84
12.68,174.36,171.78
12.72,175.48,171.98
12.76,175.41,172.26
12.8,175.34,172.72
12.84,175.28,172.85
12.88,175.28,172.82
12.92,175.25,172.8
12.96,175.21,172.7
13.0,174.77,172.55
13.04,174.63,172.5
13.08,174.54,172.34
13.12,174.43,172.12
13.16,173.78,171.98
13.2,173.44,171.54
13.24,173.01,171.48
13.28,172.21,170.88
13.32,171.15,170.27
13.36,169.53,169.98
13.4,167.72,169.32
13.44,167.13,168.68
13.48,166.24,168.36
13.52,164.77,167.7
13.56,163.43,167.28
13.6,161.48,166.89
13.64,160.16,165.91
13.68,158.37,165.05
13.72,155.41,162.43
13.76,153.36,159.84
13.8,151.96,157.31
13.84,150.88,155.34
13.88,149.7,152.67
13.92,147.56,149.07
13.96,145.09,146.49
14.0,142.18,142.94
14.04,139.11,139.4
14.08,134.57,134.8
14.12,131.05,130.49
14.16,125.75,125.63
14.2,120.63,121.43
14.24,116.83,116.8
14.28,114.22,113.09
14.32,112.81,108.18
14.36,105.89,106.75
14.4,102.98,104.89
14.44,96.02,102.27
14.48,90.52,97.4
14.52,88.38,92.47
14.56,85.16,89.75
14.6,83.67,87.32
14.64,80.58,87.78
14.68,79.25,84.19
14.72,76.53,82.2
14.76,77.15,81.42
14.8,78.59,81.13
14.84,77.93,80.46
14.88,76.28,75.43
14.92,76.39,73.03
14.96,79.13,74.72
15.0,79.47,75.32
15.04,79.6,76.38
15.08,82.14,77.62
15.12,83.83,83.59
15.16,85.82,86.21
15.2,87.86,86.88
15.24,88.7,87.67
15.28,92.67,90.08
15.32,99.18,92.73
15.36,102.22,100.47
15.4,110.94,102.51
15.44,114.23,107.07
15.48,118.0,111.1
15.52,125.73,117.8
15.56,126.41,123.16
15.6,131.96,128.3
15.64,132.69,132.6
15.68,137.74,137.76
15.72,141.12,141.46
15.76,144.46,143.19
15.8,146.26,147.67
15.84,147.16,150.15
15.88,151.04,153.66
15.92,153.92,158.25
15.96,156.63,161.76
16.0,158.7,163.3
16.04,160.67,164.17
16.08,161.37,165.1
16.12,163.03,166.45
16.16,165.29,168.2
16.2,167.89,169.44
16.24,169.91,169.95
16.28,171.22,170.4
16.32,171.82,171.0
16.36,172.66,171.95
16.4,173.56,171.9
16.44,173.94,172.0
16.48,174.62,172.0
16.52,175.38,172.21
16.56,175.74,172.76
16.6,175.85,172.9
16.64,175.85,172.96
16.68,175.9,173.05
16.72,175.77,173.09
16.76,175.75,172.96
16.8,175.81,172.93
16.84,175.6,172.78
16.88,174.89,172.74
16.92,174.36,172.67
16.96,173.97,172.47
17.0,173.24,171.99
17.04,172.05,171.4
17.08,171.25,171.42
17.12,170.27,170.74
17.16,167.84,170.12
17.2,166.51,168.99
17.24,164.83,168.61
17.28,163.65,167.26
17.32,163.14,166.18
17.36,161.59,165.02
17.4,160.36,163.88
17.44,157.87,163.85
17.48,156.25,162.72
17.52,154.49,161.3
17.56,152.6,158.87
17.6,150.49,155.54
17.64,148.27,150.7
17.68,144.7,146.82
17.72,141.6,143.47
17.76,138.19,139.48
17.8,133.98,134.28
17.84,127.6,132.21
17.88,122.77,127.12
17.92,116.27,119.94
17.96,111.52,117.05
18.0,107.42,112.85
18.04,104.04,105.14
18.08,100.9,101.99
18.12,96.35,96.96
18.16,89.94,91.78
18.2,85.31,86.99
18.24,81.14,83.98
18.28,78.64,83.22
18.32,75.49,80.39
18.36,73.62,79.84
18.4,72.69,79.95
18.44,72.05,77.35
18.48,71.87,77.15
18.52,70.98,76.33
18.56,71.33,74.46
18.6,71.0,72.3
18.64,70.58,67.99
18.68,70.71,68.41
18.72,70.14,70.69
18.76,70.14,70.46
18.8,70.34,70.27
18.84,71.69,71.14
18.88,72.46,71.87
18.92,76.03,73.54
18.96,79.16,74.51
19.0,82.15,76.06
19.04,84.54,77.43
19.08,85.84,89.03
19.12,90.79,89.98
19.16,93.07,96.0
19.2,99.97,99.18
19.24,104.2,103.13
19.28,107.39,107.61
19.32,113.25,112.22
19.36,116.26,115.46
19.4,122.32,123.18
19.44,128.53,130.72
19.48,134.55,136.76
19.52,139.09,141.87
19.56,142.23,144.19
19.6,145.14,147.31
19.64,147.81,150.44
19.68,150.08,153.67
19.72,153.32,158.18
19.76,156.42,160.37
19.8,158.0,162.65
19.84,160.04,164.27
19.88,162.38,166.25
19.92,164.7,168.81
19.96,168.26,169.74
20.0,170.28,171.42
20.04,170.99,170.92
20.08,173.06,171.47
20.12,173.25,171.21
20.16,174.6,172.31
20.2,175.44,172.46
20.24,175.77,172.34
20.28,175.9,172.49
20.32,175.68,172.35
20.36,175.59,172.14
20.4,175.75,172.06
20.44,175.67,171.86
20.48,175.53,171.84
20.52,175.21,171.82
20.56,174.54,171.63
20.6,173.82,170.76
20.64,172.88,170.51
