Time(s),Left(deg),Right(deg)
0.04,102.82,115.92
0.08,103.62,101.31
0.12,103.6,103.12
0.16,102.54,102.78
0.2,100.83,99.22
0.24,97.69,95.14
0.28,95.99,91.19
0.32,93.74,91.11
0.36,90.67,88.66
0.4,87.43,87.85
0.44,85.13,84.94
0.48,82.41,81.13
0.52,79.79,79.07
0.56,79.24,73.83
0.6,77.32,74.01
0.64,75.81,71.91
0.68,73.41,70.31
0.72,72.22,66.21
0.76,71.96,66.85
0.8,72.04,66.86
0.84,71.55,66.94
0.88,72.29,71.06
0.92,74.71,70.32
0.96,79.23,76.07
1.0,80.33,78.23
1.04,88.34,85.06
1.08,90.78,93.95
1.12,93.59,96.29
1.16,95.42,101.56
1.2,99.22,106.09
1.24,105.14,111.21
1.28,110.61,116.74
1.32,113.4,121.47
1.36,119.09,126.57
1.4,122.59,132.18
1.44,127.36,136.43
1.48,131.09,139.58
1.52,135.75,145.98
1.56,141.05,147.96
1.6,146.8,152.98
1.64,149.94,157.54
1.68,152.53,161.25
1.72,155.15,162.65
1.76,157.4,163.24
1.8,159.38,164.25
1.84,160.93,165.38
1.88,163.14,165.91
1.92,165.72,166.99
1.96,166.21,167.59
2.0,167.85,169.0
2.04,169.54,170.21
2.08,170.61,171.31
2.12,171.81,172.22
2.16,173.61,172.82
2.2,174.12,173.72
2.24,174.31,173.82
2.28,174.47,173.91
2.32,174.37,174.31
2.36,174.22,173.95
2.4,174.1,174.16
2.44,173.69,174.14
2.48,173.06,174.08
2.52,170.88,173.49
2.56,169.7,172.75
2.6,167.58,171.62
2.64,165.61,170.81
2.68,164.02,169.36
2.72,162.24,168.17
2.76,160.76,166.74
2.8,159.03,165.54
2.84,157.35,164.34
2.88,155.09,163.24
2.92,152.57,161.43
2.96,149.44,159.1
3.0,146.87,156.57
3.04,144.55,152.6
3.08,140.59,148.59
3.12,136.71,142.28
3.16,133.37,139.27
3.2,129.13,135.27
3.24,124.03,132.29
3.28,121.84,128.69
3.32,117.1,124.38
3.36,112.49,118.46
3.4,106.8,110.38
3.44,103.37,107.78
3.48,99.85,103.83
3.52,96.36,99.91
3.56,93.04,96.49
3.6,91.35,91.53
3.64,87.59,87.82
3.68,82.43,78.08
3.72,79.86,75.69
3.76,77.08,71.85
3.8,73.78,67.83
3.84,72.7,67.77
3.88,71.13,62.81
3.92,70.38,58.83
3.96,69.33,58.23
4.0,69.78,60.32
4.04,69.98,60.37
4.08,69.91,60.52
4.12,69.94,60.11
4.16,70.11,61.26
4.2,70.26,63.54
4.24,70.95,65.72
4.28,72.53,69.3
4.32,78.0,74.36
4.36,82.64,80.7
4.4,87.3,85.68
4.44,95.77,95.85
4.48,104.55,102.93
4.52,106.03,109.0
4.56,110.68,112.77
4.6,112.02,117.85
4.64,115.46,122.85
4.68,119.85,126.92
4.72,125.86,132.24
4.76,129.18,137.28
4.8,133.3,140.23
4.84,135.28,142.16
4.88,140.18,144.84
4.92,144.04,149.15
4.96,147.65,152.95
5.0,151.58,156.74
5.04,153.85,160.39
5.08,156.01,162.7
5.12,157.67,163.42
5.16,159.73,163.83
5.2,161.19,165.38
5.24,163.12,167.01
5.28,165.01,167.46
5.32,166.43,168.22
5.36,167.35,169.12
5.4,169.3,170.15
5.44,171.2,170.83
5.48,171.98,171.68
5.52,173.43,172.17
5.56,174.05,173.12
5.6,174.08,173.28
5.64,174.37,173.82
5.68,174.65,173.82
5.72,174.83,174.24
5.76,174.77,174.17
5.8,174.59,174.04
5.84,174.46,174.0
5.88,174.2,173.96
5.92,174.02,173.9
5.96,173.45,173.33
6.0,172.02,172.77
6.04,170.63,171.35
6.08,169.57,171.02
6.12,168.25,170.42
6.16,167.46,169.57
6.2,165.86,168.31
6.24,163.83,166.83
6.28,161.91,165.23
6.32,159.49,163.96
6.36,158.25,163.25
6.4,156.44,161.73
6.44,154.25,160.16
6.48,151.84,158.65
6.52,149.24,156.14
6.56,146.52,152.37
6.6,143.67,148.59
6.64,141.66,144.01
6.68,138.8,139.43
6.72,134.38,135.49
6.76,130.35,131.28
6.8,125.11,127.95
6.84,117.86,121.22
6.88,114.66,116.99
6.92,110.96,113.27
6.96,108.49,107.31
7.0,103.26,99.57
7.04,99.3,93.27
7.08,92.31,89.85
7.12,83.36,84.75
7.16,79.69,78.66
7.2,77.66,77.09
7.24,75.3,75.92
7.28,72.31,69.03
7.32,72.44,68.58
7.36,70.75,66.05
7.4,70.21,65.6
7.44,69.29,63.94
7.48,69.98,64.45
7.52,69.51,62.56
7.56,70.55,64.04
7.6,71.25,63.81
7.64,71.72,63.9
7.68,71.99,65.25
7.72,72.13,66.09
7.76,73.09,67.27
7.8,73.49,69.59
7.84,80.56,75.03
7.88,85.25,78.57
7.92,91.85,90.27
7.96,93.74,100.63
8.0,99.78,104.41
8.04,106.22,108.45
8.08,113.74,113.51
8.12,116.34,115.37
8.16,121.48,118.08
8.2,124.13,122.34
8.24,127.67,128.73
8.28,130.47,132.72
8.32,132.19,137.07
8.36,137.1,139.85
8.4,140.83,144.2
8.44,143.74,148.75
8.48,149.07,151.7
8.52,151.54,154.98
8.56,154.18,158.48
8.6,156.22,161.39
8.64,158.06,164.31
8.68,159.9,165.31
8.72,161.12,165.65
8.76,162.36,166.79
8.8,165.59,168.0
8.84,167.08,168.58
8.88,169.29,169.83
8.92,170.72,170.4
8.96,172.03,170.65
9.0,173.42,171.41
9.04,174.11,171.93
9.08,174.12,172.12
9.12,174.77,172.5
9.16,175.0,173.48
9.2,175.03,173.65
9.24,174.78,173.76
9.28,174.75,173.71
9.32,174.6,173.77
9.36,174.47,173.7
9.4,173.85,173.37
9.44,173.53,173.35
9.48,172.49,172.97
9.52,171.51,172.53
9.56,170.06,171.75
9.6,168.39,171.2
9.64,167.25,169.72
9.68,166.31,168.89
9.72,165.3,168.48
9.76,163.87,166.92
9.8,162.55,166.21
9.84,160.24,164.78
