Time(s),Shoulder,Waist
0.04,0.3544,0.122
0.08,0.529,0.3065
0.12,0.5787,0.3663
0.16,0.5975,0.4174
0.2,0.5862,0.3931
0.23,0.5927,0.3843
0.27,0.5982,0.3955
0.31,0.5536,0.3836
0.35,0.5047,0.3572
0.39,0.503,0.3794
0.43,0.4885,0.4063
0.47,0.4778,0.4537
0.51,0.4878,0.5
0.55,0.5189,0.5755
0.59,0.5165,0.6097
0.62,0.5439,0.654
0.66,0.539,0.6628
0.7,0.5392,0.667
0.74,0.547,0.6896
0.78,0.5531,0.7189
0.82,0.5476,0.7148
0.86,0.5516,0.7254
0.9,0.5543,0.7198
0.94,0.5588,0.737
0.98,0.5556,0.7441
1.02,0.5447,0.7362
1.05,0.5425,0.7322
1.09,0.5343,0.7194
1.13,0.5108,0.6891
1.17,0.5019,0.6791
1.21,0.4618,0.6383
1.25,0.439,0.6091
1.29,0.4262,0.5973
1.33,0.3881,0.5571
1.37,0.3763,0.5322
1.41,0.3781,0.5298
1.44,0.3836,0.5335
1.48,0.4071,0.5536
1.52,0.4324,0.5909
1.56,0.4416,0.6049
1.6,0.4517,0.6144
1.64,0.4573,0.6254
1.68,0.4622,0.6299
1.72,0.4707,0.6415
1.76,0.474,0.6404
1.8,0.4724,0.636
1.84,0.4645,0.6239
1.87,0.467,0.6242
1.91,0.4768,0.6327
1.95,0.4771,0.6311
1.99,0.4764,0.6244
2.03,0.4762,0.623
2.07,0.479,0.6207
2.11,0.4762,0.6116
2.15,0.4772,0.609
2.19,0.4822,0.6083
2.23,0.4816,0.605
2.26,0.4781,0.6041
2.3,0.4825,0.5984
2.34,0.4704,0.5826
2.38,0.4531,0.5693
2.42,0.4303,0.548
2.46,0.428,0.5539
2.5,0.4404,0.5793
2.54,0.4466,0.5907
2.58,0.4457,0.6009
2.62,0.4515,0.6242
2.66,0.4538,0.6372
2.69,0.4549,0.6536
2.73,0.4576,0.6637
2.77,0.4626,0.6826
2.81,0.4656,0.6915
2.85,0.4673,0.7001
2.89,0.4727,0.7129
2.93,0.4793,0.7263
2.97,0.4885,0.7481
3.01,0.4921,0.7754
3.05,0.4973,0.7835
3.08,0.4991,0.7905
3.12,0.4969,0.795
3.16,0.4993,0.8019
3.2,0.5088,0.7991
3.24,0.5123,0.8019
3.28,0.5244,0.8126
3.32,0.5111,0.7565
3.36,0.5159,0.7392
3.4,0.5157,0.7028
3.44,0.5204,0.6734
3.48,0.5082,0.6208
3.51,0.4996,0.6139
3.55,0.4814,0.5962
3.59,0.4594,0.5665
3.63,0.4198,0.5449
3.67,0.3643,0.5127
3.71,0.312,0.4985
3.75,0.2689,0.4851
3.79,0.2301,0.4707
3.83,0.2051,0.4301
3.87,0.1525,0.3807
3.9,0.1341,0.3648
3.94,0.1248,0.3517
3.98,0.0947,0.3391
4.02,0.0843,0.3295
4.06,0.1042,0.3258
4.1,0.1111,0.3254
4.14,0.1139,0.3219
4.18,0.158,0.3279
4.22,0.1773,0.3375
4.26,0.1897,0.3404
4.3,0.2114,0.3578
4.33,0.257,0.3834
4.37,0.2997,0.4082
4.41,0.3612,0.4594
4.45,0.4131,0.502
4.49,0.4434,0.5264
4.53,0.4599,0.5362
4.57,0.4817,0.5595
4.61,0.4938,0.5796
4.65,0.4928,0.58
4.69,0.4961,0.5821
4.72,0.4905,0.574
4.76,0.4791,0.5598
4.8,0.4449,0.524
4.84,0.3874,0.4898
4.88,0.3111,0.4582
4.92,0.2367,0.4074
4.96,0.1854,0.3697
5.0,0.1525,0.3588
5.04,0.1317,0.3437
5.08,0.1086,0.3365
5.12,0.0957,0.3309
5.15,0.099,0.33
5.19,0.0835,0.3206
5.23,0.0947,0.32
5.27,0.1068,0.3262
5.31,0.1296,0.3265
5.35,0.1733,0.3408
5.39,0.2187,0.3444
5.43,0.2651,0.3828
5.47,0.3193,0.4297
5.51,0.3767,0.4756
5.54,0.4172,0.5015
5.58,0.4268,0.5142
5.62,0.4563,0.518
5.66,0.4815,0.535
5.7,0.4965,0.55
5.74,0.5113,0.5678
5.78,0.5091,0.5779
5.82,0.5014,0.5688
5.86,0.4895,0.5615
5.9,0.4903,0.5645
5.94,0.4799,0.5614
5.97,0.4337,0.5349
6.01,0.3714,0.4858
6.05,0.3217,0.4405
6.09,0.2692,0.4124
6.13,0.2139,0.3841
6.17,0.1961,0.3684
6.21,0.1586,0.339
6.25,0.155,0.3199
6.29,0.1319,0.3182
6.33,0.1064,0.3092
6.36,0.0933,0.296
6.4,0.0984,0.2936
6.44,0.065,0.2836
6.48,0.066,0.2857
6.52,0.0716,0.2849
6.56,0.0729,0.2831
6.6,0.1094,0.2961
6.64,0.1432,0.3006
6.68,0.1627,0.298
6.72,0.2019,0.3182
6.76,0.2399,0.3337
6.79,0.2756,0.3561
6.83,0.3163,0.3761
6.87,0.338,0.3986
6.91,0.366,0.4159
6.95,0.4043,0.4553
6.99,0.4175,0.4702
7.03,0.4338,0.4934
7.07,0.4637,0.5217
7.11,0.4782,0.5557
7.15,0.4912,0.5721
7.18,0.5078,0.597
7.22,0.5313,0.6433
7.26,0.5451,0.6757
7.3,0.5424,0.702
7.34,0.5406,0.7246
7.38,0.534,0.7205
7.42,0.5295,0.7184
7.46,0.517,0.7291
7.5,0.5061,0.7215
7.54,0.4973,0.7046
7.58,0.4925,0.6869
7.61,0.493,0.6826
7.65,0.4872,0.6465
7.69,0.4878,0.6101
7.73,0.4872,0.5702
7.77,0.485,0.5383
7.81,0.481,0.4959
7.85,0.4665,0.4458
7.89,0.4539,0.4034
7.93,0.4328,0.3554
7.97,0.41,0.3331
8.0,0.3826,0.3058
8.04,0.353,0.2706
8.08,0.2754,0.1583
8.12,0.2412,0.1164
8.16,0.2006,0.0613
8.2,0.1741,0.0366
8.24,0.1619,0.022
8.28,0.1388,0.0
8.32,0.1332,0.0
8.36,0.1389,0.0
8.4,0.1265,0.0
8.43,0.0878,0.0
8.47,0.0864,0.0
8.51,0.0418,0.0
8.55,0.0172,0.0
8.59,0.0196,0.0
8.63,0.0301,0.0
8.67,0.0569,0.0
8.71,0.0912,0.0
8.75,0.0929,0.0
8.79,0.1392,0.0
8.82,0.1274,0.0
8.86,0.1007,0.0
8.9,0.0993,0.0
8.94,0.1128,0.0
8.98,0.1536,0.0
9.02,0.1845,0.0
9.06,0.2065,0.0172
9.1,0.251,0.0634
9.14,0.2797,0.0956
9.18,0.3084,0.1233
9.22,0.3401,0.1733
9.25,0.3506,0.1953
9.29,0.3704,0.2289
9.33,0.3889,0.2941
9.37,0.4011,0.3439
9.41,0.413,0.3821
9.45,0.4378,0.4523
9.49,0.449,0.481
9.53,0.4674,0.5325
9.57,0.4627,0.557
9.61,0.4748,0.6036
9.65,0.4696,0.646
9.68,0.4796,0.6964
9.72,0.4895,0.7192
9.76,0.4973,0.7395
9.8,0.5126,0.7411
9.84,0.513,0.7155
9.88,0.5212,0.712
9.92,0.5361,0.7009
9.96,0.5371,0.7069
10.0,0.5427,0.6986
10.04,0.5401,0.687
10.07,0.531,0.6826
10.11,0.5315,0.6922
10.15,0.5337,0.6955
10.19,0.5173,0.7089
10.23,0.5142,0.7093
10.27,0.5148,0.7169
10.31,0.5239,0.7181
10.35,0.5119,0.6906
10.39,0.5139,0.6759
10.43,0.489,0.6212
10.47,0.4747,0.5979
10.5,0.4377,0.5624
10.54,0.3897,0.5457
10.58,0.3287,0.5178
10.62,0.2735,0.4752
10.66,0.2154,0.4455
10.7,0.1792,0.4385
10.74,0.1765,0.4345
10.78,0.138,0.4182
10.82,0.1436,0.4242
10.86,0.1257,0.4142
10.89,0.1481,0.4354
10.93,0.1335,0.4223
10.97,0.1355,0.4022
11.01,0.1361,0.3771
11.05,0.1472,0.3584
11.09,0.1749,0.3645
11.13,0.2008,0.3616
11.17,0.2239,0.3645
11.21,0.254,0.3702
11.25,0.3195,0.3876
11.29,0.3585,0.4284
11.32,0.422,0.4843
11.36,0.4415,0.5094
11.4,0.4679,0.5322
11.44,0.4884,0.5694
11.48,0.5122,0.5932
11.52,0.5416,0.6263
11.56,0.5303,0.6466
11.6,0.521,0.654
11.64,0.5263,0.6605
11.68,0.513,0.64
11.71,0.5052,0.6317
11.75,0.4961,0.6236
11.79,0.4653,0.5934
11.83,0.4026,0.549
11.87,0.3623,0.5136
11.91,0.2973,0.4792
11.95,0.2292,0.4287
11.99,0.186,0.3784
12.03,0.1586,0.3695
12.07,0.1559,0.3866
12.11,0.1491,0.3809
12.14,0.1299,0.367
