Time(s),Shoulder,Waist
12.18,0.1087,0.3574
12.22,0.1115,0.3488
12.26,0.1287,0.3466
12.3,0.1414,0.3421
12.34,0.1625,0.3371
12.38,0.1955,0.3389
12.42,0.237,0.3559
12.46,0.2944,0.4015
12.5,0.3439,0.4234
12.53,0.4051,0.4768
12.57,0.4406,0.4878
12.61,0.4768,0.5257
12.65,0.514,0.5542
12.69,0.5446,0.588
12.73,0.5484,0.5932
12.77,0.5536,0.6025
12.81,0.5465,0.5995
12.85,0.5414,0.5895
12.89,0.5374,0.5944
12.93,0.53,0.5908
12.96,0.4961,0.575
13.0,0.4652,0.5697
13.04,0.4088,0.5255
13.08,0.3513,0.4885
13.12,0.3114,0.4473
13.16,0.2596,0.4105
13.2,0.2235,0.3929
13.24,0.1804,0.364
13.28,0.1677,0.3611
13.32,0.159,0.3593
13.35,0.1438,0.3512
13.39,0.1318,0.3442
13.43,0.1281,0.343
13.47,0.1099,0.3319
13.51,0.1227,0.3353
13.55,0.1313,0.3343
13.59,0.1481,0.3413
13.63,0.1653,0.3473
13.67,0.1963,0.3502
13.71,0.2187,0.3398
13.75,0.2758,0.3579
13.78,0.3176,0.3863
13.82,0.3466,0.4031
13.86,0.3771,0.4329
13.9,0.3911,0.4529
13.94,0.4178,0.4739
13.98,0.4332,0.4884
14.02,0.4711,0.5038
14.06,0.5004,0.5442
14.1,0.5149,0.5348
14.14,0.5293,0.5311
14.17,0.543,0.5419
14.21,0.5317,0.5329
14.25,0.5215,0.5296
14.29,0.5194,0.5308
14.33,0.5086,0.5304
14.37,0.4739,0.5179
14.41,0.4358,0.4624
14.45,0.3937,0.4287
14.49,0.3601,0.4143
14.53,0.3219,0.3611
14.57,0.2948,0.3334
14.6,0.2352,0.3012
14.64,0.2065,0.2925
14.68,0.1605,0.284
14.72,0.1426,0.2774
14.76,0.1439,0.266
14.8,0.1455,0.262
14.84,0.1538,0.2687
14.88,0.167,0.2804
14.92,0.1709,0.2855
14.96,0.1493,0.2544
14.99,0.2159,0.2949
15.03,0.2623,0.3203
15.07,0.3038,0.3836
15.11,0.3339,0.4308
15.15,0.3607,0.4651
15.19,0.3916,0.4879
15.23,0.4103,0.5001
15.27,0.4438,0.536
15.31,0.4804,0.5587
15.35,0.5092,0.5814
15.39,0.5467,0.6029
15.42,0.5645,0.6055
15.46,0.5614,0.6049
15.5,0.543,0.5847
15.54,0.5226,0.5686
15.58,0.5201,0.5575
15.62,0.5161,0.5504
15.66,0.4927,0.5277
15.7,0.4502,0.5028
15.74,0.399,0.4618
15.78,0.3328,0.3992
15.81,0.3152,0.3746
15.85,0.25,0.325
15.89,0.2044,0.289
15.93,0.1519,0.2699
15.97,0.1013,0.2559
16.01,0.0672,0.2353
16.05,0.0247,0.2247
16.09,0.0,0.2161
16.13,0.023,0.2053
16.17,0.0294,0.1926
16.21,0.0473,0.2053
16.24,0.0656,0.2235
16.28,0.1251,0.2398
16.32,0.1753,0.2485
16.36,0.227,0.2634
16.4,0.2636,0.2789
16.44,0.2855,0.2873
16.48,0.3081,0.3081
16.52,0.3308,0.3193
16.56,0.3434,0.3412
16.6,0.3629,0.3837
16.63,0.3775,0.4052
16.67,0.4001,0.4446
16.71,0.4169,0.4646
16.75,0.4568,0.4899
16.79,0.4848,0.5196
16.83,0.52,0.5583
16.87,0.5448,0.5951
16.91,0.5677,0.6308
16.95,0.5573,0.6548
16.99,0.5586,0.6936
17.03,0.5581,0.7075
17.06,0.5465,0.7238
17.1,0.5453,0.7386
17.14,0.5375,0.7473
17.18,0.5281,0.7624
17.22,0.5287,0.7741
17.26,0.5333,0.8063
17.3,0.5364,0.8124
17.34,0.5344,0.8242
17.38,0.5343,0.849
17.42,0.5308,0.8595
17.45,0.5293,0.8815
17.49,0.5161,0.8801
17.53,0.5093,0.8841
17.57,0.5115,0.8819
17.61,0.5091,0.8745
17.65,0.5102,0.8702
17.69,0.5137,0.8554
17.73,0.5175,0.8479
17.77,0.529,0.8558
17.81,0.5407,0.859
17.85,0.5382,0.8573
17.88,0.5409,0.8613
17.92,0.5541,0.8963
17.96,0.5572,0.9309
18.0,0.5627,0.9638
18.04,0.5629,0.9914
18.08,0.5621,0.9981
18.12,0.5648,1.0
18.16,0.5599,0.9825
18.2,0.5665,0.9648
18.24,0.5703,0.9047
18.27,0.5766,0.851
18.31,0.5751,0.7777
18.35,0.5736,0.721
18.39,0.5644,0.6574
18.43,0.5476,0.6305
18.47,0.5326,0.5857
18.51,0.5155,0.5488
18.55,0.5143,0.5149
18.59,0.5096,0.5011
18.63,0.5091,0.4888
18.67,0.4972,0.4757
18.7,0.4764,0.4707
18.74,0.4638,0.4783
18.78,0.4328,0.4824
18.82,0.4124,0.4946
18.86,0.3759,0.4962
18.9,0.3455,0.496
18.94,0.3243,0.5094
18.98,0.3058,0.4875
19.02,0.3021,0.492
19.06,0.3216,0.5007
19.09,0.3357,0.5237
19.13,0.3825,0.5563
19.17,0.4342,0.5755
19.21,0.4745,0.6128
19.25,0.5152,0.6358
19.29,0.5113,0.6283
19.33,0.5238,0.6285
19.37,0.5279,0.6327
19.41,0.5239,0.6183
19.45,0.523,0.6136
19.49,0.5015,0.588
19.52,0.4774,0.5386
19.56,0.4519,0.5084
19.6,0.4272,0.4875
19.64,0.401,0.5007
19.68,0.3884,0.5012
19.72,0.3803,0.511
19.76,0.388,0.517
19.8,0.3963,0.5215
19.84,0.4225,0.5325
19.88,0.4623,0.5571
19.91,0.493,0.5864
19.95,0.4955,0.5961
19.99,0.5203,0.6195
20.03,0.5253,0.6271
20.07,0.5296,0.6212
20.11,0.5221,0.6114
20.15,0.5131,0.6175
20.19,0.4754,0.5804
20.23,0.4467,0.538
20.27,0.4099,0.4938
20.31,0.4008,0.4975
20.34,0.3754,0.4989
20.38,0.3651,0.5028
20.42,0.3674,0.5083
20.46,0.3856,0.5167
20.5,0.4017,0.5186
20.54,0.4258,0.5242
20.58,0.4602,0.5362
20.62,0.4917,0.5528
20.66,0.4999,0.5652
20.7,0.5147,0.5813
20.73,0.5116,0.5729
20.77,0.5073,0.57
20.81,0.5,0.5664
20.85,0.4896,0.5475
20.89,0.4565,0.5193
20.93,0.4347,0.507
20.97,0.4065,0.4869
21.01,0.3723,0.4666
21.05,0.3617,0.487
21.09,0.3616,0.4978
21.13,0.3813,0.5262
21.16,0.3882,0.5288
21.2,0.4158,0.5307
21.24,0.4481,0.5482
21.28,0.469,0.5486
21.32,0.4971,0.5649
21.36,0.515,0.5802
21.4,0.5249,0.5848
21.44,0.5297,0.5859
21.48,0.5116,0.5731
21.52,0.491,0.537
21.55,0.4642,0.4953
21.59,0.4473,0.4761
21.63,0.4193,0.4722
21.67,0.3844,0.4619
21.71,0.3759,0.4603
21.75,0.3712,0.4683
21.79,0.3785,0.4699
21.83,0.3891,0.4819
21.87,0.4019,0.4915
21.91,0.4588,0.5327
21.95,0.4942,0.5775
21.98,0.4748,0.5727
22.02,0.481,0.5493
22.06,0.4691,0.5245
22.1,0.4885,0.5012
22.14,0.4516,0.4402
22.18,0.5059,0.4969
22.22,0.5107,0.4997
22.26,0.4924,0.4483
22.3,0.4739,0.4185
22.34,0.3835,0.3076
22.37,0.3667,0.2574
22.41,0.3396,0.1766
22.45,0.3198,0.1414
22.49,0.3079,0.0774
22.53,0.2794,0.0201
22.57,0.2551,0.0
22.61,0.2713,0.0
22.65,0.3087,0.023
22.69,0.337,0.0542
22.73,0.3245,0.0304
22.77,0.3404,0.0572
22.8,0.345,0.0666
22.84,0.3776,0.0831
22.88,0.3974,0.0432
22.92,0.4566,0.0371
22.96,0.5276,0.0
23.0,0.5335,0.0
23.04,0.7294,0.1878
23.08,0.8021,0.2263
23.12,0.8458,0.236
23.16,0.8815,0.3089
23.19,0.8735,0.291
23.23,0.8714,0.2827
23.27,0.904,0.304
23.31,0.9145,0.3059
23.35,0.9567,0.3478
23.39,0.9733,0.3808
23.43,0.9937,0.4142
23.47,1.0,0.4152
